stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.494,-7.084,-1.459,-1.620,-1.975,-1.382,1.092,0.153,1.982,864149415.502,1584,0,0,0.070
norefined,2,-0.983,-7.074,-1.488,-1.587,-1.904,-1.361,1.091,0.204,1.949,804037508.722,1584,0,0,0.139
norefined,3,-0.529,-7.142,-1.646,-1.545,-1.858,-1.270,1.051,0.229,1.956,791742479.739,1584,0,0,0.074
norefined,4,-1.019,-7.127,-1.665,-1.510,-1.788,-1.252,1.054,0.276,1.926,723390227.312,1584,0,0,0.143
norefined,5,-0.560,-7.192,-1.817,-1.469,-1.744,-1.170,1.019,0.292,1.930,730744130.997,1584,0,0,0.078
norefined,6,-1.050,-7.174,-1.829,-1.433,-1.674,-1.154,1.024,0.336,1.901,658694421.242,1584,0,0,0.146
norefined,7,-0.586,-7.237,-1.974,-1.393,-1.632,-1.081,0.993,0.341,1.900,680057076.149,1584,0,0,0.081
norefined,8,-1.076,-7.218,-1.981,-1.355,-1.560,-1.067,0.998,0.380,1.869,607652050.849,1584,0,0,0.149
norefined,9,-0.608,-7.281,-2.117,-1.317,-1.521,-1.005,0.969,0.374,1.861,637744776.820,1584,0,0,0.083
norefined,10,-1.098,-7.261,-2.118,-1.278,-1.447,-0.993,0.974,0.407,1.826,566296216.145,1584,0,0,0.151
refined,11,-1.098,-7.261,-2.118,-1.278,-1.447,-0.993,0.974,0.407,1.826,566296216.145,1584,0,0,0.151
refined,12,-0.259,-0.899,-1.726,1.473,0.869,1.392,-0.277,-0.530,-3.213,1917906137.689,1584,0,0,0.288
refined,13,-0.258,-1.743,-0.338,-0.480,-0.600,-0.778,0.205,0.082,1.313,1347156807.151,1584,0,0,0.148
refined,14,-0.369,-2.299,-1.201,0.167,-0.142,-0.107,0.196,-0.070,-0.229,208682976.534,1584,0,0,0.161
refined,15,-0.601,-3.948,-1.838,0.115,-0.149,0.014,0.189,-0.090,-0.314,146608625.735,1584,0,0,0.152
refined,16,-0.733,-4.855,-2.159,0.037,0.015,0.083,0.101,-0.097,-0.226,138726693.560,1584,0,0,0.151
refined,17,-0.762,-5.048,-2.257,0.029,0.067,0.074,0.085,-0.079,-0.182,138193154.179,1584,0,0,0.151
refined,18,-0.770,-5.101,-2.284,0.023,0.078,0.075,0.077,-0.081,-0.178,138167083.455,1584,0,0,0.151
refined,19,-0.770,-5.107,-2.287,0.023,0.080,0.074,0.077,-0.080,-0.176,138165758.328,1584,0,0,0.151
refined,20,-0.771,-5.110,-2.289,0.023,0.081,0.074,0.077,-0.080,-0.176,138165687.036,1584,0,0,0.151
