attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.163,"[-1.647, -0.679]",0.484,-4.005,0.000,57.100,ngd,53,243784470.258,0.155,-1.000,-0.163,0,0,fn
c,-6.084,"[-8.584, -3.583]",2.500,-4.054,0.000,57.100,ngd,53,243784470.258,0.155,-6.000,-0.084,0,0,fn
s,-3.111,"[-4.46, -1.762]",1.349,-3.842,0.000,57.100,ngd,53,243784470.258,0.155,-3.000,-0.111,0,0,fn
vot,0.191,,,,,57.100,ngd,53,243784470.258,0.155,0.167,0.024,0,0,fn
tt,-0.793,"[-1.073, -0.512]",0.280,-4.710,0.000,59.327,lm,53,237499112.205,0.153,-1.000,0.207,0,0,fn
c,-4.730,"[-6.377, -3.083]",1.647,-4.784,0.000,59.327,lm,53,237499112.205,0.153,-6.000,1.270,0,0,fn
s,-2.183,"[-3.003, -1.364]",0.820,-4.437,0.000,59.327,lm,53,237499112.205,0.153,-3.000,0.817,0,0,fn
vot,0.168,,,,,59.327,lm,53,237499112.205,0.153,0.167,0.001,0,0,fn
tt,-0.785,"[-1.064, -0.506]",0.279,-4.695,0.000,118.893,ngd+lm,53,237231283.337,0.153,-1.000,0.215,0,0,fn
c,-4.741,"[-6.396, -3.086]",1.655,-4.771,0.000,118.893,ngd+lm,53,237231283.337,0.153,-6.000,1.259,0,0,fn
s,-2.191,"[-3.013, -1.369]",0.822,-4.440,0.000,118.893,ngd+lm,53,237231283.337,0.153,-3.000,0.809,0,0,fn
vot,0.166,,,,,118.893,ngd+lm,53,237231283.337,0.153,0.167,-0.001,0,0,fn
