attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.060,"[-1.631, -0.489]",0.571,-3.364,0.007,94,0.250,11046921.498,0.069,-1.000,-0.060,0,0,fn
c,-7.391,"[-11.874, -2.908]",4.483,-2.988,0.014,94,0.250,11046921.498,0.069,-6.000,-1.391,0,0,fn
s,-3.322,"[-5.47, -1.174]",2.148,-2.803,0.019,94,0.250,11046921.498,0.069,-3.000,-0.322,0,0,fn
k0,0.612,"[-0.514, 1.737]",1.126,0.984,0.348,94,0.250,11046921.498,0.069,0.000,0.612,0,0,fp
k1,0.385,"[-0.824, 1.594]",1.209,0.577,0.577,94,0.250,11046921.498,0.069,0.000,0.385,0,0,fp
k2,-0.886,"[-2.056, 0.284]",1.170,-1.373,0.200,94,0.250,11046921.498,0.069,0.000,-0.886,0,0,fp
k3,-0.445,"[-1.539, 0.65]",1.094,-0.736,0.479,94,0.250,11046921.498,0.069,0.000,-0.445,0,0,fp
k4,0.059,"[-0.892, 1.011]",0.951,0.113,0.912,94,0.250,11046921.498,0.069,0.000,0.059,0,0,fp
k5,0.312,"[-0.776, 1.4]",1.088,0.520,0.614,94,0.250,11046921.498,0.069,0.000,0.312,0,0,fp
vot,0.143,,,,,94,0.250,11046921.498,0.069,0.167,-0.023,0,0,fn
tt,-1.818,"[-3.314, -0.323]",1.495,-2.066,0.048,94,0.500,87226478.865,0.130,-1.000,-0.818,0,0,fn
c,-8.016,"[-14.229, -1.803]",6.213,-2.192,0.037,94,0.500,87226478.865,0.130,-6.000,-2.016,0,0,fn
s,-4.513,"[-8.452, -0.574]",3.939,-1.947,0.061,94,0.500,87226478.865,0.130,-3.000,-1.513,0,0,fn
k0,-1.497,"[-2.957, -0.037]",1.460,-1.742,0.092,94,0.500,87226478.865,0.130,0.000,-1.497,0,1,fp
k1,-0.415,"[-1.697, 0.866]",1.281,-0.551,0.586,94,0.500,87226478.865,0.130,0.000,-0.415,0,0,fp
k2,1.209,"[-1.315, 3.732]",2.524,0.814,0.423,94,0.500,87226478.865,0.130,0.000,1.209,0,0,fp
k3,0.431,"[-1.211, 2.074]",1.642,0.446,0.659,94,0.500,87226478.865,0.130,0.000,0.431,0,0,fp
k4,1.086,"[-0.386, 2.558]",1.472,1.253,0.220,94,0.500,87226478.865,0.130,0.000,1.086,0,0,fp
k5,-1.103,"[-3.27, 1.065]",2.167,-0.864,0.394,94,0.500,87226478.865,0.130,0.000,-1.103,0,0,fp
vot,0.227,,,,,94,0.500,87226478.865,0.130,0.167,0.060,0,0,fn
tt,-1.194,"[-1.531, -0.857]",0.337,-5.940,0.000,94,0.750,48052113.115,0.078,-1.000,-0.194,0,0,fn
c,-8.423,"[-10.898, -5.949]",2.475,-5.709,0.000,94,0.750,48052113.115,0.078,-6.000,-2.423,0,0,fn
s,-3.709,"[-4.808, -2.609]",1.099,-5.659,0.000,94,0.750,48052113.115,0.078,-3.000,-0.709,0,0,fn
k0,0.418,"[-0.161, 0.996]",0.579,1.210,0.232,94,0.750,48052113.115,0.078,0.000,0.418,0,0,fp
k1,-0.261,"[-0.744, 0.222]",0.483,-0.907,0.369,94,0.750,48052113.115,0.078,0.000,-0.261,0,0,fp
k2,-0.131,"[-0.966, 0.704]",0.835,-0.262,0.794,94,0.750,48052113.115,0.078,0.000,-0.131,0,0,fp
k3,-0.204,"[-0.634, 0.226]",0.430,-0.794,0.431,94,0.750,48052113.115,0.078,0.000,-0.204,0,0,fp
k4,-0.623,"[-1.117, -0.129]",0.494,-2.117,0.039,94,0.750,48052113.115,0.078,0.000,-0.623,0,1,fp
k5,0.685,"[-0.018, 1.388]",0.703,1.633,0.109,94,0.750,48052113.115,0.078,0.000,0.685,0,0,fp
vot,0.142,,,,,94,0.750,48052113.115,0.078,0.167,-0.025,0,0,fn
