stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.818,"[-3.768, 0.132]",1.950,-1.555,0.125
norefined,c,-7.111,"[-14.615, 0.392]",7.504,-1.581,0.119
norefined,s,-3.760,"[-8.07, 0.549]",4.310,-1.455,0.150
norefined,k0,0.672,"[-1.504, 2.847]",2.175,0.515,0.608
norefined,k1,0.646,"[-0.911, 2.204]",1.557,0.692,0.491
norefined,k2,0.130,"[-1.49, 1.75]",1.620,0.134,0.894
norefined,k3,-0.394,"[-1.987, 1.198]",1.592,-0.413,0.681
norefined,k4,-0.682,"[-3.167, 1.804]",2.485,-0.457,0.649
norefined,k5,-0.926,"[-3.231, 1.379]",2.305,-0.670,0.505
refined,tt,-3.485,"[-9.821, 2.85]",6.335,-0.918,0.362
refined,c,-14.774,"[-39.623, 10.076]",24.850,-0.992,0.325
refined,s,-8.327,"[-23.808, 7.155]",15.482,-0.897,0.373
refined,k0,2.402,"[-2.896, 7.7]",5.298,0.756,0.452
refined,k1,2.754,"[-4.893, 10.402]",7.648,0.601,0.550
refined,k2,0.805,"[-2.602, 4.213]",3.408,0.394,0.695
refined,k3,-1.503,"[-5.477, 2.472]",3.974,-0.631,0.530
refined,k4,-3.469,"[-13.118, 6.18]",9.649,-0.600,0.551
refined,k5,-1.463,"[-5.795, 2.87]",4.332,-0.563,0.575
