stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,15.227,1.727,0.000,0,9,4025195071.938,1321715410.990,76
refined,16.636,1.727,0.000,0,9,4025195071.938,1244392415.713,76
