stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.569,"[-2.727, -0.411]",1.158,-2.705,0.009
norefined,c,-7.656,"[-13.777, -1.536]",6.120,-2.497,0.015
norefined,s,-4.354,"[-7.381, -1.327]",3.027,-2.871,0.005
norefined,k0,-0.638,"[-1.577, 0.301]",0.939,-1.357,0.179
norefined,k1,0.048,"[-1.201, 1.297]",1.249,0.076,0.939
norefined,k2,-0.554,"[-1.811, 0.703]",1.257,-0.879,0.382
norefined,k3,0.153,"[-1.473, 1.779]",1.626,0.188,0.851
norefined,k4,-1.220,"[-2.743, 0.302]",1.523,-1.600,0.114
norefined,k5,0.842,"[-0.533, 2.218]",1.376,1.222,0.226
refined,tt,-1.381,"[-1.973, -0.789]",0.592,-4.655,0.000
refined,c,-8.822,"[-12.622, -5.022]",3.800,-4.634,0.000
refined,s,-4.588,"[-6.654, -2.522]",2.066,-4.433,0.000
refined,k0,-0.111,"[-0.643, 0.421]",0.532,-0.416,0.679
refined,k1,0.203,"[-0.508, 0.914]",0.711,0.570,0.571
refined,k2,0.050,"[-0.716, 0.817]",0.767,0.131,0.896
refined,k3,0.763,"[-0.251, 1.777]",1.014,1.502,0.138
refined,k4,0.315,"[-0.414, 1.043]",0.729,0.863,0.391
refined,k5,-0.099,"[-0.771, 0.574]",0.673,-0.293,0.770
