stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.749,-4.569,-3.054,-1.231,-1.302,-0.562,-0.656,0.525,-1.992,3822889599.161,1584,0,0,-0.164
norefined,2,0.259,-4.609,-3.064,-1.258,-1.335,-0.597,-0.688,0.460,-2.015,2113717990.880,1584,0,0,-0.056
norefined,3,-0.232,-4.658,-3.023,-1.260,-1.347,-0.617,-0.702,0.400,-2.015,1498967068.100,1584,0,0,0.050
norefined,4,-0.718,-4.702,-2.942,-1.236,-1.319,-0.609,-0.707,0.348,-1.979,909368520.292,1584,0,0,0.153
norefined,5,-1.179,-4.759,-2.860,-1.200,-1.248,-0.570,-0.685,0.282,-1.857,603618179.355,1584,0,0,0.248
norefined,6,-1.544,-4.861,-2.753,-1.053,-1.194,-0.490,-0.655,0.213,-1.615,558589402.911,1584,0,0,0.318
norefined,7,-1.075,-4.968,-2.833,-0.995,-1.241,-0.442,-0.662,0.226,-1.545,515538032.108,1584,0,0,0.216
norefined,8,-1.480,-5.040,-2.710,-0.887,-1.168,-0.389,-0.619,0.149,-1.350,480786094.857,1584,0,0,0.294
norefined,9,-1.004,-5.131,-2.791,-0.835,-1.199,-0.348,-0.626,0.166,-1.301,450363081.001,1584,0,0,0.196
norefined,10,-1.435,-5.177,-2.666,-0.750,-1.124,-0.310,-0.584,0.088,-1.144,429121387.515,1584,0,0,0.277
refined,11,-1.435,-5.177,-2.666,-0.750,-1.124,-0.310,-0.584,0.088,-1.144,429121387.515,1584,0,0,0.277
refined,12,0.303,-1.652,-0.652,0.686,1.166,0.089,-0.407,-0.689,1.525,7507718347.856,1584,0,0,-0.184
refined,13,-0.849,2.390,0.310,-1.595,-2.249,-0.243,0.785,1.211,-2.898,6910729196.438,1584,0,0,-0.355
refined,14,1.085,-6.908,-1.458,2.877,2.444,0.675,-0.929,-2.544,5.194,9236951552.509,1584,0,0,-0.157
refined,15,-3.516,18.613,2.943,-8.330,-6.363,-3.170,4.527,8.545,-16.213,12173465923.010,1584,0,0,-0.189
refined,16,29.905,-192.808,-36.110,74.239,72.977,26.991,-38.948,-70.290,159.157,10564063022.289,1584,0,0,-0.155
refined,17,-566.989,4986.586,1262.181,-2768.549,-2206.392,-558.579,1322.625,2393.762,-4487.346,12830640577.712,1584,0,0,-0.114
refined,18,-566.989,4986.586,1262.181,-2768.549,-2206.392,-558.579,1322.625,2393.762,-4487.346,12830640577.712,1584,0,0,-0.114
refined,19,-566.989,4986.586,1262.181,-2768.549,-2206.392,-558.579,1322.625,2393.762,-4487.346,12830640577.712,1584,0,0,-0.114
refined,20,-566.989,4986.586,1262.181,-2768.549,-2206.392,-558.579,1322.625,2393.762,-4487.346,12830640577.712,1584,0,0,-0.114
