stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.307,"[-2.192, -0.421]",0.886,-2.474,0.017
norefined,c,-6.595,"[-11.174, -2.015]",4.579,-2.415,0.020
norefined,s,-2.902,"[-4.845, -0.959]",1.943,-2.505,0.016
norefined,k0,-1.453,"[-2.926, 0.019]",1.472,-1.656,0.104
norefined,k1,0.631,"[-0.274, 1.536]",0.905,1.169,0.248
norefined,k2,-0.274,"[-1.518, 0.97]",1.244,-0.369,0.714
norefined,k3,-0.200,"[-1.026, 0.626]",0.826,-0.406,0.687
norefined,k4,1.355,"[0.022, 2.689]",1.333,1.705,0.095
norefined,k5,-0.286,"[-1.166, 0.595]",0.880,-0.544,0.589
refined,tt,-0.892,"[-1.162, -0.623]",0.269,-5.556,0.000
refined,c,-4.965,"[-6.46, -3.469]",1.496,-5.567,0.000
refined,s,-2.642,"[-3.433, -1.852]",0.790,-5.606,0.000
refined,k0,-0.095,"[-0.592, 0.403]",0.498,-0.320,0.751
refined,k1,-0.081,"[-0.468, 0.305]",0.387,-0.353,0.726
refined,k2,-0.170,"[-0.634, 0.294]",0.464,-0.614,0.542
refined,k3,-0.007,"[-0.372, 0.357]",0.365,-0.034,0.973
refined,k4,-0.115,"[-0.592, 0.363]",0.477,-0.403,0.689
refined,k5,-0.110,"[-0.452, 0.233]",0.343,-0.538,0.593
