stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.390,-5.220,-2.638,0.198,-0.323,-1.392,1.666,-1.916,-0.780,1010288128.105,1584,0,0,0.075
norefined,2,-0.846,-5.312,-2.500,0.177,-0.245,-1.350,1.640,-1.852,-0.742,876031186.210,1584,0,0,0.159
norefined,3,-0.719,-5.508,-2.510,0.024,-0.301,-1.199,1.297,-1.698,-0.678,779219580.232,1584,0,0,0.131
norefined,4,-1.125,-5.588,-2.447,-0.064,-0.282,-1.080,1.148,-1.553,-0.579,745433051.792,1584,0,0,0.201
norefined,5,-0.729,-5.711,-2.499,-0.169,-0.318,-0.928,0.961,-1.486,-0.579,694390374.004,1584,0,0,0.128
norefined,6,-1.196,-5.730,-2.425,-0.207,-0.281,-0.858,0.907,-1.394,-0.497,682214011.967,1584,0,0,0.209
norefined,7,-0.765,-5.821,-2.509,-0.296,-0.315,-0.733,0.756,-1.350,-0.513,640583124.582,1584,0,0,0.131
norefined,8,-1.240,-5.823,-2.433,-0.321,-0.275,-0.673,0.725,-1.272,-0.439,643390739.185,1584,0,0,0.213
norefined,9,-0.791,-5.891,-2.543,-0.393,-0.309,-0.577,0.602,-1.245,-0.466,607872633.817,1584,0,0,0.134
norefined,10,-1.270,-5.886,-2.464,-0.407,-0.264,-0.526,0.588,-1.178,-0.397,619070259.491,1584,0,0,0.216
refined,11,-0.791,-5.891,-2.543,-0.393,-0.309,-0.577,0.602,-1.245,-0.466,607872633.817,1584,0,0,0.134
refined,12,-0.964,-5.687,-2.611,-0.679,0.267,0.223,0.038,-0.219,-0.274,497112406.935,1584,0,0,0.170
refined,13,-0.773,-4.509,-2.311,-0.197,0.639,0.373,0.087,0.009,-0.197,487612123.568,1584,0,0,0.171
refined,14,-1.051,-6.297,-3.191,-0.555,1.033,0.320,0.116,0.133,-0.397,478196752.428,1584,0,0,0.167
refined,15,-0.898,-5.374,-2.744,-0.174,0.902,0.408,0.086,0.212,-0.303,479567463.092,1584,0,0,0.167
refined,16,-1.140,-6.898,-3.496,-0.423,1.244,0.369,0.087,0.288,-0.495,476225017.916,1584,0,0,0.165
refined,17,-0.978,-5.901,-3.006,-0.103,1.061,0.451,0.062,0.293,-0.374,477675230.098,1584,0,0,0.166
refined,18,-1.207,-7.338,-3.717,-0.333,1.388,0.413,0.059,0.372,-0.564,475557638.857,1584,0,0,0.165
refined,19,-1.029,-6.233,-3.169,-0.050,1.164,0.483,0.043,0.344,-0.420,477030147.744,1584,0,0,0.165
refined,20,-1.253,-7.637,-3.867,-0.278,1.487,0.443,0.040,0.426,-0.612,475316201.148,1584,0,0,0.164
