stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,52.465,1.857,0.000,0,9,1230894448.921,71222986.621,38
refined,128.662,1.857,0.000,0,9,1230894448.921,30073538.137,38
