stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.060,"[-1.586, -0.533]",0.526,-3.359,0.001
norefined,c,-8.026,"[-12.161, -3.89]",4.136,-3.237,0.002
norefined,s,-3.545,"[-5.351, -1.739]",1.806,-3.274,0.002
norefined,k0,0.649,"[-0.103, 1.401]",0.752,1.439,0.155
norefined,k1,-0.027,"[-1.121, 1.068]",1.095,-0.040,0.968
norefined,k2,0.648,"[-0.338, 1.634]",0.986,1.096,0.277
norefined,k3,-1.072,"[-2.282, 0.139]",1.210,-1.477,0.144
norefined,k4,0.879,"[-0.516, 2.273]",1.395,1.051,0.297
norefined,k5,-0.384,"[-1.204, 0.435]",0.820,-0.782,0.437
refined,tt,-0.666,"[-0.944, -0.388]",0.278,-3.998,0.000
refined,c,-4.535,"[-6.48, -2.59]",1.945,-3.888,0.000
refined,s,-2.116,"[-3.001, -1.23]",0.886,-3.985,0.000
refined,k0,0.040,"[-0.43, 0.51]",0.470,0.143,0.887
refined,k1,-0.051,"[-0.698, 0.596]",0.647,-0.131,0.896
refined,k2,-0.075,"[-0.665, 0.514]",0.590,-0.213,0.832
refined,k3,-0.429,"[-1.11, 0.253]",0.681,-1.049,0.298
refined,k4,0.624,"[-0.122, 1.369]",0.746,1.394,0.168
refined,k5,-0.151,"[-0.638, 0.337]",0.487,-0.516,0.608
