stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,34.444,1.727,0.000,0,9,3563982245.246,633386554.834,76
refined,46.890,1.727,0.000,0,9,3563982245.246,488309451.007,76
