stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,17.150,1.727,0.000,0,9,4800728724.925,1453125526.836,76
refined,18.279,1.727,0.000,0,9,4800728724.925,1389328860.722,76
