stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.778,-7.175,-4.624,-0.002,-1.490,1.155,1.997,1.572,0.865,1750785528.205,1584,0,0,0.387
norefined,2,-2.401,-7.317,-4.660,-0.157,-1.521,1.004,1.894,1.431,0.959,1487453936.298,1584,0,0,0.328
norefined,3,-1.979,-7.476,-4.642,-0.275,-1.522,0.935,1.806,1.292,0.977,1137725934.086,1584,0,0,0.265
norefined,4,-1.539,-7.636,-4.586,-0.357,-1.508,0.940,1.720,1.177,0.963,819956473.360,1584,0,0,0.202
norefined,5,-1.194,-7.833,-4.418,-0.440,-1.509,0.925,1.579,0.986,0.953,611398631.674,1584,0,0,0.152
norefined,6,-1.141,-8.040,-4.156,-0.535,-1.497,0.853,1.377,0.705,0.907,460343800.607,1584,0,0,0.142
norefined,7,-1.539,-8.100,-4.005,-0.582,-1.407,0.794,1.188,0.586,0.873,459920932.487,1584,0,0,0.190
norefined,8,-1.085,-8.218,-3.976,-0.618,-1.385,0.762,1.091,0.461,0.848,419180305.424,1584,0,0,0.132
norefined,9,-1.563,-8.171,-3.961,-0.622,-1.322,0.718,0.980,0.478,0.821,414300384.496,1584,0,0,0.191
norefined,10,-1.094,-8.272,-3.957,-0.652,-1.303,0.686,0.902,0.371,0.804,393958061.100,1584,0,0,0.132
refined,11,-1.094,-8.272,-3.957,-0.652,-1.303,0.686,0.902,0.371,0.804,393958061.100,1584,0,0,0.132
refined,12,-0.450,-1.884,-1.051,0.164,0.200,0.020,-0.345,-0.350,0.293,522741115.083,1584,0,0,0.239
refined,13,-0.532,-3.251,-1.622,0.188,-0.154,-0.032,-0.102,-0.208,0.534,283491678.605,1584,0,0,0.164
refined,14,-0.678,-4.325,-2.090,0.056,-0.340,0.018,-0.041,-0.012,0.603,261648494.427,1584,0,0,0.157
refined,15,-0.761,-4.823,-2.331,-0.054,-0.424,0.084,-0.038,0.077,0.584,258452779.799,1584,0,0,0.158
refined,16,-0.800,-5.034,-2.447,-0.087,-0.439,0.117,-0.034,0.086,0.571,258081200.330,1584,0,0,0.159
refined,17,-0.815,-5.112,-2.491,-0.096,-0.440,0.128,-0.029,0.087,0.567,258040126.161,1584,0,0,0.159
refined,18,-0.820,-5.140,-2.507,-0.099,-0.440,0.131,-0.026,0.087,0.565,258035646.415,1584,0,0,0.160
refined,19,-0.822,-5.149,-2.512,-0.100,-0.440,0.132,-0.025,0.087,0.565,258035149.567,1584,0,0,0.160
refined,20,-0.823,-5.153,-2.514,-0.100,-0.439,0.132,-0.025,0.087,0.565,258035093.801,1584,0,0,0.160
