stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.206,"[-1.885, -0.527]",0.679,-3.546,0.001
norefined,c,-6.322,"[-9.783, -2.86]",3.462,-3.645,0.001
norefined,s,-3.026,"[-4.801, -1.251]",1.775,-3.403,0.001
norefined,k0,-0.521,"[-1.431, 0.389]",0.910,-1.142,0.257
norefined,k1,0.193,"[-0.714, 1.099]",0.907,0.424,0.673
norefined,k2,0.032,"[-0.985, 1.049]",1.017,0.063,0.950
norefined,k3,0.158,"[-0.658, 0.973]",0.816,0.386,0.701
norefined,k4,-0.260,"[-1.074, 0.553]",0.813,-0.639,0.525
norefined,k5,-0.157,"[-0.903, 0.59]",0.747,-0.418,0.677
refined,tt,-1.012,"[-1.552, -0.472]",0.540,-3.742,0.000
refined,c,-5.371,"[-8.127, -2.615]",2.756,-3.889,0.000
refined,s,-2.590,"[-4.015, -1.165]",1.425,-3.628,0.001
refined,k0,-0.308,"[-1.111, 0.495]",0.803,-0.765,0.447
refined,k1,0.218,"[-0.568, 1.004]",0.786,0.554,0.582
refined,k2,0.009,"[-0.894, 0.912]",0.903,0.020,0.984
refined,k3,0.080,"[-0.639, 0.799]",0.719,0.222,0.825
refined,k4,-0.095,"[-0.815, 0.626]",0.721,-0.263,0.794
refined,k5,-0.378,"[-1.067, 0.311]",0.689,-1.094,0.278
