stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.617,-6.164,-3.013,-0.577,1.101,0.255,0.528,-0.689,1.472,669063165.673,0.100
norefined,2,-1.062,-6.190,-2.957,-0.583,0.977,0.179,0.398,-0.689,1.370,387851731.974,0.172
norefined,3,-0.904,-6.321,-2.929,-0.480,0.698,0.123,0.223,-0.597,1.095,331841430.121,0.143
norefined,4,-1.286,-6.324,-2.881,-0.333,0.556,0.099,0.132,-0.463,0.911,348369258.709,0.203
norefined,5,-0.815,-6.394,-2.941,-0.281,0.513,0.149,0.136,-0.378,0.838,296355963.595,0.127
norefined,6,-1.265,-6.367,-2.897,-0.188,0.428,0.117,0.066,-0.291,0.714,310234221.330,0.199
norefined,7,-0.790,-6.427,-2.964,-0.138,0.401,0.167,0.074,-0.207,0.654,268507815.905,0.123
norefined,8,-1.254,-6.391,-2.922,-0.056,0.336,0.132,0.009,-0.136,0.552,285108487.979,0.196
norefined,9,-0.774,-6.444,-2.995,-0.016,0.320,0.179,0.020,-0.064,0.511,249828806.201,0.120
norefined,10,-1.248,-6.404,-2.954,0.052,0.269,0.141,-0.043,-0.013,0.432,270303670.242,0.195
refined,11,-0.774,-6.444,-2.995,-0.016,0.320,0.179,0.020,-0.064,0.511,249828806.201,0.120
refined,12,-0.722,-4.816,-2.419,0.683,-0.013,-0.102,-0.238,0.571,0.323,189544090.847,0.150
refined,13,-0.693,-4.872,-2.336,0.528,0.122,-0.094,-0.182,0.392,0.299,184494015.730,0.142
refined,14,-0.705,-4.972,-2.391,0.538,0.119,-0.104,-0.187,0.400,0.298,184414976.941,0.142
refined,15,-0.712,-5.024,-2.416,0.543,0.118,-0.107,-0.190,0.400,0.299,184396564.223,0.142
refined,16,-0.715,-5.051,-2.429,0.545,0.118,-0.110,-0.192,0.400,0.300,184391781.183,0.142
refined,17,-0.717,-5.065,-2.436,0.547,0.117,-0.111,-0.193,0.400,0.300,184390551.821,0.142
refined,18,-0.718,-5.072,-2.439,0.548,0.117,-0.111,-0.193,0.400,0.301,184390237.872,0.141
refined,19,-0.718,-5.076,-2.441,0.548,0.117,-0.112,-0.194,0.401,0.301,184390157.959,0.141
refined,20,-0.718,-5.077,-2.442,0.548,0.117,-0.112,-0.194,0.401,0.301,184390137.651,0.141
