stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,10.393,2.023,0.000,76,0,9,1961434326.732,818587550.130
refined,16.769,2.023,0.000,76,0,9,1961434326.732,603052905.210
