stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.163,"[-2.252, -0.075]",1.089,-2.133,0.037
norefined,c,-6.377,"[-12.181, -0.573]",5.804,-2.193,0.032
norefined,s,-2.897,"[-5.772, -0.022]",2.875,-2.011,0.048
norefined,k0,-0.283,"[-1.65, 1.084]",1.367,-0.413,0.681
norefined,k1,0.099,"[-1.264, 1.462]",1.363,0.145,0.885
norefined,k2,0.153,"[-1.382, 1.687]",1.534,0.199,0.843
norefined,k3,0.297,"[-1.184, 1.778]",1.481,0.400,0.690
norefined,k4,-0.414,"[-1.865, 1.037]",1.451,-0.570,0.571
norefined,k5,0.936,"[-0.481, 2.354]",1.417,1.318,0.192
refined,tt,-0.171,"[-0.234, -0.107]",0.063,-5.366,0.000
refined,c,-1.225,"[-1.676, -0.773]",0.452,-5.413,0.000
refined,s,-0.621,"[-0.884, -0.358]",0.263,-4.717,0.000
refined,k0,0.058,"[-0.341, 0.457]",0.399,0.291,0.772
refined,k1,-0.106,"[-0.429, 0.216]",0.323,-0.656,0.514
refined,k2,0.139,"[-0.249, 0.527]",0.388,0.715,0.477
refined,k3,0.028,"[-0.325, 0.382]",0.353,0.160,0.873
refined,k4,0.236,"[-0.101, 0.573]",0.337,1.400,0.166
refined,k5,0.273,"[-0.108, 0.655]",0.381,1.431,0.157
