stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.650,"[-0.925, -0.375]",0.275,-3.965,0.000
norefined,c,-4.950,"[-6.981, -2.919]",2.031,-4.088,0.000
norefined,s,-2.701,"[-3.865, -1.537]",1.164,-3.892,0.000
norefined,k0,-0.250,"[-1.156, 0.655]",0.906,-0.464,0.645
norefined,k1,-0.724,"[-1.443, -0.006]",0.719,-1.691,0.097
norefined,k2,0.130,"[-0.484, 0.744]",0.614,0.355,0.724
norefined,k3,0.470,"[-0.185, 1.125]",0.655,1.203,0.235
norefined,k4,0.206,"[-0.437, 0.849]",0.643,0.537,0.594
norefined,k5,0.434,"[-0.127, 0.996]",0.562,1.297,0.201
refined,tt,-0.857,"[-1.093, -0.621]",0.236,-6.099,0.000
refined,c,-5.660,"[-7.234, -4.086]",1.574,-6.031,0.000
refined,s,-2.755,"[-3.545, -1.965]",0.790,-5.846,0.000
refined,k0,-0.159,"[-0.863, 0.545]",0.704,-0.380,0.706
refined,k1,-0.341,"[-0.804, 0.122]",0.463,-1.237,0.222
refined,k2,0.075,"[-0.368, 0.518]",0.443,0.282,0.779
refined,k3,0.157,"[-0.34, 0.653]",0.496,0.529,0.599
refined,k4,-0.327,"[-0.798, 0.144]",0.471,-1.164,0.250
refined,k5,0.407,"[-0.011, 0.824]",0.417,1.634,0.109
