stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,40.403,1.727,0.000,76,0,9,3531745480.835,549494524.063
refined,53.686,1.727,0.000,76,0,9,3531745480.835,430097059.502
