stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.836,"[-1.413, -0.259]",0.577,-2.418,0.018
norefined,c,-5.317,"[-8.957, -1.677]",3.640,-2.437,0.017
norefined,s,-2.446,"[-4.088, -0.803]",1.643,-2.483,0.016
norefined,k0,1.348,"[-0.234, 2.929]",1.581,1.422,0.160
norefined,k1,0.492,"[-0.313, 1.297]",0.805,1.019,0.312
norefined,k2,-0.745,"[-1.765, 0.276]",1.020,-1.217,0.228
norefined,k3,0.170,"[-0.89, 1.23]",1.060,0.267,0.790
norefined,k4,-0.678,"[-2.276, 0.92]",1.598,-0.707,0.482
norefined,k5,0.396,"[-0.8, 1.593]",1.197,0.553,0.582
refined,tt,-0.831,"[-1.22, -0.441]",0.389,-3.558,0.001
refined,c,-3.754,"[-5.464, -2.043]",1.711,-3.660,0.000
refined,s,-1.974,"[-2.927, -1.02]",0.954,-3.453,0.001
refined,k0,0.345,"[-0.309, 0.998]",0.653,0.880,0.382
refined,k1,-0.027,"[-0.535, 0.482]",0.508,-0.087,0.931
refined,k2,0.072,"[-0.623, 0.767]",0.695,0.172,0.864
refined,k3,-0.650,"[-1.378, 0.078]",0.728,-1.489,0.141
refined,k4,0.487,"[-0.278, 1.253]",0.765,1.061,0.292
refined,k5,0.580,"[-0.24, 1.4]",0.820,1.180,0.242
