stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.271,-4.779,-2.384,1.944,1.182,-0.720,0.923,-0.957,0.963,2091333411.076,0.057
norefined,2,-0.739,-4.801,-2.371,1.871,1.107,-0.810,0.876,-1.014,0.889,960473081.979,0.154
norefined,3,-1.148,-4.853,-2.327,1.737,0.974,-0.905,0.759,-1.052,0.755,733457616.596,0.237
norefined,4,-0.856,-5.042,-2.363,1.554,0.802,-0.944,0.574,-1.024,0.588,624144182.872,0.170
norefined,5,-1.266,-5.087,-2.289,1.442,0.634,-0.986,0.441,-0.986,0.475,636670106.550,0.249
norefined,6,-0.805,-5.193,-2.384,1.418,0.621,-0.909,0.371,-0.911,0.460,587263234.222,0.155
norefined,7,-1.281,-5.181,-2.305,1.377,0.535,-0.924,0.307,-0.871,0.412,613056006.274,0.247
norefined,8,-0.818,-5.266,-2.412,1.375,0.543,-0.832,0.259,-0.794,0.418,565973564.783,0.155
norefined,9,-1.299,-5.243,-2.332,1.343,0.476,-0.841,0.207,-0.756,0.381,596571956.093,0.248
norefined,10,-0.836,-5.317,-2.446,1.348,0.492,-0.745,0.170,-0.678,0.396,549494524.064,0.157
refined,11,-0.836,-5.317,-2.446,1.348,0.492,-0.745,0.170,-0.678,0.396,549494524.064,0.157
refined,12,-0.449,-1.027,-1.068,-0.763,-0.366,0.059,-1.213,1.811,0.448,1285946084.379,0.437
refined,13,-0.458,-1.967,-1.101,-0.147,-0.228,0.207,-0.594,0.369,0.339,489196758.619,0.233
refined,14,-0.697,-3.062,-1.760,-0.116,-0.276,0.151,-0.573,0.517,0.503,439856779.472,0.228
refined,15,-0.730,-3.288,-1.827,0.119,-0.120,0.101,-0.538,0.474,0.455,432629900.577,0.222
refined,16,-0.776,-3.504,-1.897,0.221,-0.075,0.075,-0.598,0.470,0.517,430825041.579,0.222
refined,17,-0.798,-3.604,-1.922,0.285,-0.046,0.072,-0.618,0.472,0.540,430308881.082,0.221
refined,18,-0.816,-3.686,-1.952,0.316,-0.036,0.071,-0.636,0.480,0.563,430159109.630,0.221
refined,19,-0.824,-3.726,-1.964,0.335,-0.029,0.071,-0.644,0.484,0.573,430112293.434,0.221
refined,20,-0.831,-3.754,-1.974,0.345,-0.027,0.072,-0.650,0.487,0.580,430097059.503,0.221
