attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
k0,0.742,"[-1.678, 3.163]",2.420,0.612,0.542,2,0.800,846026331.285,0.237,0.000,0.742,0,0,fp
k1,0.737,"[-1.295, 2.769]",2.032,0.724,0.472,2,0.800,846026331.285,0.237,0.000,0.737,0,0,fp
k2,0.311,"[-0.845, 1.466]",1.156,0.536,0.594,2,0.800,846026331.285,0.237,0.000,0.311,0,0,fp
k3,0.271,"[-1.564, 2.105]",1.834,0.294,0.769,2,0.800,846026331.285,0.237,0.000,0.271,0,0,fp
k4,0.244,"[-0.824, 1.312]",1.068,0.457,0.649,2,0.800,846026331.285,0.237,0.000,0.244,0,0,fp
k5,-1.701,"[-4.796, 1.394]",3.095,-1.097,0.276,2,0.800,846026331.285,0.237,0.000,-1.701,0,0,fp
vot,0.194,,,,,2,0.800,846026331.285,0.237,0.167,0.027,0,0,fn
tt,-0.650,"[-0.975, -0.325]",0.325,-3.989,0.000,2,0.900,248213448.052,0.142,-1.000,0.350,0,0,fn
c,-4.208,"[-6.139, -2.277]",1.931,-4.350,0.000,2,0.900,248213448.052,0.142,-6.000,1.792,0,0,fn
s,-2.266,"[-3.347, -1.185]",1.081,-4.185,0.000,2,0.900,248213448.052,0.142,-3.000,0.734,0,0,fn
k0,0.414,"[-0.25, 1.078]",0.664,1.245,0.217,2,0.900,248213448.052,0.142,0.000,0.414,0,0,fp
k1,-0.114,"[-0.587, 0.358]",0.472,-0.483,0.631,2,0.900,248213448.052,0.142,0.000,-0.114,0,0,fp
k2,0.142,"[-0.259, 0.543]",0.401,0.707,0.482,2,0.900,248213448.052,0.142,0.000,0.142,0,0,fp
k3,-0.085,"[-0.575, 0.406]",0.490,-0.346,0.731,2,0.900,248213448.052,0.142,0.000,-0.085,0,0,fp
k4,0.112,"[-0.251, 0.476]",0.364,0.616,0.540,2,0.900,248213448.052,0.142,0.000,0.112,0,0,fp
k5,-0.057,"[-0.688, 0.575]",0.632,-0.179,0.859,2,0.900,248213448.052,0.142,0.000,-0.057,0,0,fp
vot,0.154,,,,,2,0.900,248213448.052,0.142,0.167,-0.012,0,0,fn
tt,-0.923,"[-1.363, -0.482]",0.440,-4.181,0.000,2,1.100,149856490.200,0.139,-1.000,0.077,0,0,fn
c,-5.426,"[-7.758, -3.094]",2.332,-4.645,0.000,2,1.100,149856490.200,0.139,-6.000,0.574,0,0,fn
s,-2.464,"[-3.605, -1.323]",1.141,-4.309,0.000,2,1.100,149856490.200,0.139,-3.000,0.536,0,0,fn
