stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.237,-5.057,-4.195,1.843,0.730,1.339,-1.888,0.317,1.333,1373648293.654,1584,0,0,0.047
norefined,2,-0.647,-5.103,-4.218,1.728,0.637,1.217,-1.981,0.181,1.212,726343080.910,1584,0,0,0.127
norefined,3,-1.004,-5.212,-4.164,1.550,0.507,1.089,-2.059,0.068,1.056,588958378.714,1584,0,0,0.193
norefined,4,-0.715,-5.432,-4.121,1.327,0.376,0.985,-2.015,0.016,0.873,509519449.034,1584,0,0,0.132
norefined,5,-1.131,-5.537,-3.970,1.194,0.322,0.930,-2.002,0.037,0.736,481806543.474,1584,0,0,0.204
norefined,6,-0.704,-5.706,-3.939,1.128,0.308,0.886,-1.866,0.088,0.633,456744981.992,1584,0,0,0.123
norefined,7,-1.174,-5.730,-3.828,1.077,0.308,0.854,-1.835,0.141,0.538,438769120.964,1584,0,0,0.205
norefined,8,-0.727,-5.870,-3.823,1.034,0.308,0.820,-1.693,0.179,0.459,426235603.708,1584,0,0,0.124
norefined,9,-1.208,-5.865,-3.734,0.998,0.313,0.789,-1.661,0.218,0.383,412411834.022,1584,0,0,0.206
norefined,10,-0.752,-5.989,-3.746,0.958,0.313,0.754,-1.521,0.232,0.322,405386025.686,1584,0,0,0.126
refined,11,-0.752,-5.989,-3.746,0.958,0.313,0.754,-1.521,0.232,0.322,405386025.686,1584,0,0,0.126
refined,12,-1.080,-5.281,-2.241,0.438,-0.143,-0.586,0.954,-0.007,0.154,333429092.970,1584,0,0,0.205
refined,13,-0.894,-5.382,-2.607,0.725,-0.204,-0.324,0.064,0.085,-0.005,280254698.736,1584,0,0,0.166
refined,14,-1.027,-5.908,-2.896,0.753,-0.294,-0.361,0.216,0.116,0.017,278741437.460,1584,0,0,0.174
refined,15,-1.024,-5.921,-2.892,0.771,-0.324,-0.384,0.242,0.115,0.003,278641046.574,1584,0,0,0.173
refined,16,-1.045,-6.041,-2.945,0.783,-0.336,-0.397,0.252,0.124,-0.003,278618622.591,1584,0,0,0.173
refined,17,-1.046,-6.053,-2.947,0.789,-0.345,-0.402,0.257,0.124,-0.006,278613000.607,1584,0,0,0.173
refined,18,-1.051,-6.082,-2.959,0.792,-0.348,-0.406,0.259,0.126,-0.008,278611580.727,1584,0,0,0.173
refined,19,-1.052,-6.086,-2.960,0.794,-0.350,-0.407,0.260,0.126,-0.009,278611221.089,1584,0,0,0.173
refined,20,-1.053,-6.093,-2.963,0.794,-0.351,-0.408,0.261,0.127,-0.009,278611130.059,1584,0,0,0.173
