stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.954,"[-1.418, -0.491]",0.463,-3.436,0.001
norefined,c,-6.273,"[-9.314, -3.232]",3.041,-3.440,0.001
norefined,s,-3.203,"[-4.717, -1.688]",1.515,-3.527,0.001
norefined,k0,0.576,"[-0.224, 1.375]",0.799,1.201,0.234
norefined,k1,0.444,"[-0.541, 1.429]",0.985,0.752,0.455
norefined,k2,0.473,"[-0.247, 1.194]",0.720,1.096,0.277
norefined,k3,-0.194,"[-0.916, 0.528]",0.722,-0.449,0.655
norefined,k4,0.266,"[-0.304, 0.836]",0.570,0.778,0.439
norefined,k5,-1.060,"[-2.226, 0.105]",1.166,-1.517,0.134
refined,tt,-1.133,"[-1.652, -0.613]",0.519,-3.639,0.001
refined,c,-7.682,"[-11.399, -3.966]",3.716,-3.448,0.001
refined,s,-3.255,"[-4.87, -1.64]",1.615,-3.361,0.001
refined,k0,0.041,"[-0.735, 0.818]",0.777,0.089,0.930
refined,k1,0.203,"[-0.846, 1.252]",1.049,0.323,0.748
refined,k2,0.269,"[-0.562, 1.1]",0.831,0.541,0.591
refined,k3,-0.137,"[-0.929, 0.655]",0.792,-0.288,0.774
refined,k4,0.113,"[-0.559, 0.784]",0.671,0.280,0.780
refined,k5,-0.863,"[-2.074, 0.348]",1.211,-1.189,0.239
