stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.122,-6.744,-1.242,1.846,0.891,1.949,1.363,-0.019,1.436,8028358115.922,1584,0,0,0.018
norefined,2,-0.608,-6.767,-1.261,1.812,0.853,1.881,1.335,-0.070,1.390,5535727690.776,1584,0,0,0.090
norefined,3,-1.077,-6.786,-1.288,1.751,0.790,1.781,1.269,-0.114,1.312,3220621428.780,1584,0,0,0.159
norefined,4,-1.463,-6.823,-1.379,1.631,0.693,1.639,1.119,-0.209,1.188,2184651101.776,1584,0,0,0.214
norefined,5,-1.579,-6.911,-1.542,1.449,0.585,1.442,0.864,-0.369,1.020,1555451675.744,1584,0,0,0.229
norefined,6,-1.653,-6.979,-1.697,1.258,0.481,1.238,0.577,-0.507,0.860,1076668500.809,1584,0,0,0.237
norefined,7,-1.609,-7.039,-1.867,1.092,0.408,1.048,0.255,-0.634,0.698,768831352.729,1584,0,0,0.229
norefined,8,-1.241,-7.103,-2.051,1.006,0.409,0.964,0.028,-0.685,0.604,676330099.049,1584,0,0,0.175
norefined,9,-1.669,-7.034,-2.136,0.905,0.352,0.856,-0.111,-0.727,0.510,644502487.339,1584,0,0,0.237
norefined,10,-1.196,-7.097,-2.252,0.908,0.391,0.862,-0.188,-0.716,0.487,559460639.004,1584,0,0,0.168
refined,11,-1.196,-7.097,-2.252,0.908,0.391,0.862,-0.188,-0.716,0.487,559460639.004,1584,0,0,0.168
refined,12,-0.688,-3.925,-2.798,-0.702,-0.148,-0.772,0.966,0.098,-0.504,426059351.024,1584,0,0,0.175
refined,13,-0.914,-5.330,-2.907,-0.118,0.125,-0.072,0.075,0.130,-0.431,200361317.024,1584,0,0,0.171
refined,14,-1.102,-6.395,-3.603,-0.083,-0.034,-0.194,0.261,0.056,-0.304,196029068.820,1584,0,0,0.172
refined,15,-1.124,-6.547,-3.724,-0.049,-0.086,-0.197,0.280,0.059,-0.252,195811042.373,1584,0,0,0.172
refined,16,-1.140,-6.651,-3.783,-0.050,-0.091,-0.207,0.292,0.048,-0.247,195797278.739,1584,0,0,0.171
refined,17,-1.139,-6.644,-3.782,-0.046,-0.096,-0.206,0.291,0.049,-0.242,195796083.067,1584,0,0,0.171
refined,18,-1.141,-6.655,-3.788,-0.047,-0.095,-0.207,0.292,0.048,-0.243,195795924.763,1584,0,0,0.171
refined,19,-1.140,-6.652,-3.786,-0.046,-0.096,-0.207,0.292,0.048,-0.242,195795899.156,1584,0,0,0.171
refined,20,-1.141,-6.654,-3.787,-0.046,-0.095,-0.207,0.292,0.048,-0.242,195795894.456,1584,0,0,0.171
