stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,47.366,1.765,0.000,57,0,9,1892632964.335,191541071.218
refined,164.259,1.765,0.000,57,0,9,1892632964.335,59519526.870
