stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.637,"[-2.821, -0.452]",1.184,-2.758,0.007
norefined,c,-7.809,"[-14.174, -1.445]",6.365,-2.449,0.017
norefined,s,-3.698,"[-6.336, -1.06]",2.638,-2.799,0.007
norefined,k0,0.984,"[-0.297, 2.264]",1.281,1.533,0.130
norefined,k1,-0.079,"[-1.065, 0.908]",0.986,-0.159,0.874
norefined,k2,0.405,"[-0.896, 1.706]",1.301,0.621,0.537
norefined,k3,-1.723,"[-3.293, -0.152]",1.570,-2.190,0.032
norefined,k4,-0.407,"[-1.673, 0.859]",1.266,-0.642,0.523
norefined,k5,-1.587,"[-3.375, 0.202]",1.789,-1.771,0.081
refined,tt,-1.156,"[-1.454, -0.858]",0.298,-7.745,0.000
refined,c,-6.717,"[-8.556, -4.879]",1.838,-7.295,0.000
refined,s,-3.224,"[-4.077, -2.371]",0.853,-7.546,0.000
refined,k0,-0.387,"[-0.689, -0.085]",0.302,-2.559,0.013
refined,k1,-0.187,"[-0.593, 0.219]",0.406,-0.919,0.361
refined,k2,-0.102,"[-0.54, 0.336]",0.438,-0.466,0.643
refined,k3,0.290,"[-0.171, 0.751]",0.461,1.258,0.213
refined,k4,0.469,"[-0.014, 0.952]",0.483,1.937,0.057
refined,k5,-0.016,"[-0.455, 0.424]",0.440,-0.071,0.944
