stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.794,"[-1.139, -0.45]",0.345,-3.865,0.000
norefined,c,-5.821,"[-8.407, -3.234]",2.587,-3.774,0.000
norefined,s,-2.966,"[-4.314, -1.619]",1.348,-3.692,0.001
norefined,k0,0.310,"[-0.191, 0.811]",0.501,1.037,0.305
norefined,k1,0.895,"[-0.017, 1.807]",0.912,1.645,0.106
norefined,k2,0.315,"[-0.129, 0.76]",0.444,1.191,0.240
norefined,k3,-0.463,"[-1.056, 0.131]",0.594,-1.306,0.198
norefined,k4,-0.172,"[-0.7, 0.356]",0.528,-0.547,0.587
norefined,k5,-0.512,"[-1.134, 0.11]",0.622,-1.380,0.174
refined,tt,-1.237,"[-1.604, -0.871]",0.367,-5.658,0.000
refined,c,-7.670,"[-10.137, -5.203]",2.467,-5.215,0.000
refined,s,-4.116,"[-5.481, -2.751]",1.365,-5.057,0.000
refined,k0,0.134,"[-0.39, 0.658]",0.524,0.429,0.670
refined,k1,0.436,"[-0.344, 1.216]",0.780,0.938,0.353
refined,k2,0.171,"[-0.266, 0.607]",0.436,0.656,0.515
refined,k3,0.043,"[-0.439, 0.525]",0.482,0.149,0.882
refined,k4,-0.877,"[-1.419, -0.334]",0.543,-2.708,0.009
refined,k5,-0.103,"[-0.716, 0.511]",0.613,-0.281,0.780
