stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,102.938,2.023,0.000,0,9,3060394372.759,206399682.852,76
refined,173.919,2.023,0.000,0,9,3060394372.759,125620313.617,76
