stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,93.809,1.765,0.000,57,0,9,2586246594.649,139126450.254
refined,198.036,1.765,0.000,57,0,9,2586246594.649,67824081.778
