stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.627,"[-2.981, -0.273]",1.354,-2.398,0.019
norefined,c,-7.432,"[-14.605, -0.259]",7.173,-2.068,0.043
norefined,s,-3.711,"[-6.788, -0.634]",3.077,-2.407,0.019
norefined,k0,0.787,"[-0.557, 2.13]",1.343,1.169,0.247
norefined,k1,-0.263,"[-1.403, 0.877]",1.140,-0.461,0.646
norefined,k2,0.501,"[-0.571, 1.572]",1.072,0.932,0.355
norefined,k3,-0.873,"[-2.19, 0.443]",1.316,-1.324,0.190
norefined,k4,0.803,"[-0.676, 2.283]",1.480,1.084,0.282
norefined,k5,-0.129,"[-0.813, 0.555]",0.684,-0.378,0.707
refined,tt,-1.073,"[-1.674, -0.471]",0.602,-3.557,0.001
refined,c,-5.970,"[-9.603, -2.337]",3.633,-3.280,0.002
refined,s,-2.884,"[-4.415, -1.352]",1.532,-3.758,0.000
refined,k0,-0.147,"[-0.909, 0.615]",0.762,-0.384,0.702
refined,k1,0.379,"[-0.363, 1.121]",0.742,1.020,0.312
refined,k2,0.318,"[-0.284, 0.92]",0.602,1.053,0.296
refined,k3,-0.280,"[-0.966, 0.407]",0.687,-0.814,0.419
refined,k4,-0.103,"[-0.888, 0.683]",0.785,-0.261,0.795
refined,k5,-0.013,"[-0.523, 0.498]",0.511,-0.049,0.961
