stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.906,"[-1.637, -0.176]",0.731,-2.476,0.016
norefined,c,-5.613,"[-10.005, -1.222]",4.392,-2.551,0.013
norefined,s,-3.733,"[-6.562, -0.905]",2.828,-2.635,0.010
norefined,k0,0.120,"[-1.058, 1.298]",1.178,0.204,0.839
norefined,k1,0.647,"[-0.885, 2.18]",1.532,0.843,0.402
norefined,k2,0.142,"[-0.928, 1.211]",1.070,0.264,0.792
norefined,k3,0.618,"[-0.532, 1.768]",1.150,1.073,0.287
norefined,k4,-0.136,"[-2.052, 1.78]",1.916,-0.142,0.888
norefined,k5,-1.506,"[-2.876, -0.137]",1.369,-2.195,0.032
refined,tt,-0.953,"[-1.332, -0.575]",0.379,-5.022,0.000
refined,c,-5.673,"[-7.926, -3.42]",2.253,-5.026,0.000
refined,s,-2.775,"[-3.869, -1.681]",1.094,-5.063,0.000
refined,k0,0.145,"[-0.444, 0.733]",0.589,0.490,0.625
refined,k1,-0.299,"[-0.916, 0.318]",0.617,-0.967,0.337
refined,k2,0.102,"[-0.353, 0.557]",0.455,0.446,0.657
refined,k3,0.260,"[-0.342, 0.861]",0.601,0.862,0.392
refined,k4,-0.102,"[-1.044, 0.84]",0.942,-0.216,0.829
refined,k5,0.216,"[-0.335, 0.768]",0.552,0.782,0.437
