stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,26.199,2.347,0.000,0,9,595959514.373,24246256.660,19
refined,87.474,2.347,0.000,0,9,595959514.373,7475059.793,19
