stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.406,-7.756,-3.865,0.279,-0.633,-1.278,-1.270,-1.907,0.291,410780291.329,0.181
norefined,2,-1.005,-7.885,-3.848,0.225,-0.585,-1.064,-1.253,-1.804,0.192,284586829.822,0.127
norefined,3,-1.117,-7.989,-3.794,0.017,-0.373,-0.795,-1.153,-1.579,0.145,236344133.040,0.140
norefined,4,-1.262,-8.047,-3.757,-0.136,-0.109,-0.596,-0.963,-1.368,0.041,210946272.099,0.157
norefined,5,-0.975,-8.107,-3.732,-0.137,0.113,-0.464,-0.761,-1.206,-0.134,253719923.642,0.120
norefined,6,-1.453,-8.026,-3.729,-0.139,0.100,-0.574,-0.734,-1.231,-0.098,215495678.414,0.181
norefined,7,-1.002,-8.116,-3.712,-0.143,0.156,-0.439,-0.716,-1.154,-0.203,249637204.829,0.123
norefined,8,-1.478,-8.031,-3.713,-0.140,0.141,-0.552,-0.689,-1.181,-0.162,213280218.660,0.184
norefined,9,-1.023,-8.118,-3.700,-0.142,0.191,-0.422,-0.671,-1.110,-0.262,246652234.746,0.126
norefined,10,-1.498,-8.031,-3.703,-0.137,0.173,-0.535,-0.645,-1.138,-0.218,211599683.695,0.187
refined,11,-1.262,-8.047,-3.757,-0.136,-0.109,-0.596,-0.963,-1.368,0.041,210946272.099,0.157
refined,12,-0.704,-3.294,-1.399,-0.127,-0.106,0.161,0.866,0.304,-0.578,350434697.122,0.214
refined,13,-1.230,-5.913,-2.514,-0.250,-0.033,-0.077,0.729,0.058,-0.933,184492952.742,0.208
refined,14,-0.943,-4.959,-2.337,-0.014,-0.029,-0.109,0.108,-0.236,-0.558,162791925.243,0.190
refined,15,-0.976,-5.201,-2.421,-0.075,0.001,-0.130,0.117,-0.287,-0.540,162414149.101,0.188
refined,16,-0.960,-5.111,-2.384,-0.076,-0.003,-0.118,0.111,-0.276,-0.527,162397754.719,0.188
refined,17,-0.965,-5.140,-2.397,-0.077,-0.003,-0.122,0.112,-0.280,-0.529,162395919.959,0.188
refined,18,-0.963,-5.129,-2.393,-0.077,-0.003,-0.121,0.112,-0.279,-0.528,162395711.109,0.188
refined,19,-0.964,-5.133,-2.394,-0.077,-0.003,-0.121,0.112,-0.279,-0.528,162395686.331,0.188
refined,20,-0.963,-5.132,-2.394,-0.077,-0.003,-0.121,0.112,-0.279,-0.528,162395683.409,0.188
