stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,126.247,2.023,0.000,76,0,9,3788288754.381,210946272.097
refined,166.216,2.023,0.000,76,0,9,3788288754.381,162395683.408
