stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.527,"[-2.775, -0.28]",1.247,-2.054,0.045
norefined,c,-7.303,"[-12.256, -2.35]",4.953,-2.473,0.017
norefined,s,-2.949,"[-5.383, -0.516]",2.434,-2.033,0.048
norefined,k0,0.345,"[-1.993, 2.684]",2.339,0.248,0.805
norefined,k1,-0.746,"[-1.688, 0.196]",0.942,-1.328,0.191
norefined,k2,-0.468,"[-1.719, 0.782]",1.251,-0.628,0.533
norefined,k3,0.290,"[-0.57, 1.151]",0.861,0.566,0.574
norefined,k4,-0.850,"[-3.408, 1.707]",2.558,-0.558,0.580
norefined,k5,-0.402,"[-1.686, 0.882]",1.284,-0.525,0.602
refined,tt,-1.214,"[-1.712, -0.716]",0.498,-4.091,0.000
refined,c,-6.771,"[-9.212, -4.33]",2.441,-4.652,0.000
refined,s,-3.641,"[-5.208, -2.075]",1.567,-3.898,0.000
refined,k0,0.526,"[-0.512, 1.564]",1.038,0.850,0.400
refined,k1,0.016,"[-0.4, 0.432]",0.416,0.065,0.949
refined,k2,0.186,"[-0.284, 0.657]",0.470,0.665,0.509
refined,k3,0.422,"[-0.106, 0.949]",0.528,1.341,0.186
refined,k4,0.041,"[-0.887, 0.969]",0.928,0.075,0.941
refined,k5,-0.286,"[-0.838, 0.266]",0.552,-0.868,0.389
