stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-4.000,"[-7.429, -0.571]",3.429,-2.306,0.023
refined,tt,-8.565,"[-20.004, 2.874]",11.439,-1.480,0.141
