stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,130.713,3.909,0.000,0,1,607942939.080,314398983.982,141
refined,66.792,3.909,0.000,0,1,481347159.697,325875661.232,141
