stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.210,"[-2.22, -0.2]",1.010,-2.035,0.051
norefined,c,-6.768,"[-12.704, -0.833]",5.935,-1.938,0.062
norefined,s,-3.382,"[-6.544, -0.221]",3.161,-1.818,0.079
norefined,k0,-0.131,"[-1.051, 0.789]",0.920,-0.242,0.810
norefined,k1,-0.375,"[-1.531, 0.781]",1.156,-0.552,0.585
norefined,k2,0.543,"[-1.1, 2.186]",1.643,0.561,0.579
norefined,k3,0.639,"[-0.684, 1.962]",1.323,0.820,0.419
norefined,k4,-1.111,"[-2.696, 0.473]",1.585,-1.192,0.243
norefined,k5,-1.131,"[-3.25, 0.989]",2.120,-0.906,0.372
refined,tt,-1.374,"[-2.265, -0.483]",0.891,-2.620,0.014
refined,c,-8.229,"[-13.613, -2.846]",5.383,-2.597,0.015
refined,s,-4.343,"[-7.262, -1.424]",2.919,-2.528,0.017
refined,k0,0.072,"[-0.509, 0.654]",0.582,0.211,0.834
refined,k1,-0.416,"[-1.473, 0.641]",1.057,-0.668,0.509
refined,k2,-0.328,"[-1.541, 0.884]",1.213,-0.460,0.649
refined,k3,0.024,"[-0.624, 0.671]",0.647,0.062,0.951
refined,k4,1.283,"[-0.483, 3.048]",1.766,1.234,0.227
refined,k5,0.614,"[-0.288, 1.517]",0.902,1.157,0.257
