stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.860,-5.697,-3.371,-1.272,1.126,-0.712,-0.732,0.268,0.454,1506728530.034,0.502
norefined,2,-2.449,-5.797,-3.561,-1.262,1.008,-0.765,-0.720,0.162,0.370,1158804750.412,0.422
norefined,3,-2.008,-5.889,-3.729,-1.251,0.909,-0.798,-0.688,0.090,0.330,785308442.734,0.341
norefined,4,-1.528,-5.990,-3.816,-1.225,0.889,-0.803,-0.703,0.083,0.298,414019813.493,0.255
norefined,5,-1.057,-6.122,-3.820,-1.170,0.855,-0.733,-0.699,0.080,0.268,323680261.336,0.173
norefined,6,-1.302,-6.240,-3.669,-0.973,0.677,-0.512,-0.535,0.015,0.318,270320438.674,0.209
norefined,7,-0.869,-6.374,-3.643,-0.864,0.561,-0.405,-0.449,0.008,0.307,271318529.451,0.136
norefined,8,-1.342,-6.358,-3.568,-0.795,0.512,-0.299,-0.407,-0.019,0.313,245434683.301,0.211
norefined,9,-0.862,-6.447,-3.606,-0.745,0.449,-0.258,-0.377,-0.008,0.279,247568634.186,0.134
norefined,10,-1.340,-6.424,-3.534,-0.688,0.413,-0.163,-0.343,-0.032,0.285,229383785.304,0.209
refined,11,-1.340,-6.424,-3.534,-0.688,0.413,-0.163,-0.343,-0.032,0.285,229383785.304,0.209
refined,12,-0.999,-5.933,-2.851,0.715,-0.536,0.036,0.427,0.773,-0.487,138837017.263,0.168
refined,13,-1.077,-6.382,-3.075,0.314,-0.360,0.043,0.246,0.531,-0.322,124942133.643,0.169
refined,14,-1.123,-6.628,-3.174,0.299,-0.363,0.031,0.233,0.527,-0.310,124729372.256,0.169
refined,15,-1.119,-6.608,-3.164,0.302,-0.359,0.020,0.224,0.534,-0.303,124723855.117,0.169
refined,16,-1.122,-6.623,-3.170,0.306,-0.362,0.018,0.224,0.538,-0.304,124723369.749,0.169
refined,17,-1.122,-6.621,-3.169,0.306,-0.361,0.017,0.223,0.539,-0.304,124723325.317,0.169
refined,18,-1.122,-6.623,-3.169,0.306,-0.362,0.017,0.223,0.539,-0.304,124723321.240,0.169
refined,19,-1.122,-6.622,-3.169,0.306,-0.362,0.016,0.223,0.539,-0.304,124723320.865,0.169
refined,20,-1.122,-6.623,-3.169,0.306,-0.362,0.016,0.223,0.539,-0.304,124723320.831,0.169
