stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.409,-7.818,-1.127,0.345,-0.898,0.711,-1.176,0.675,-0.207,1778736802.010,1584,0,0,-0.052
norefined,2,-0.060,-7.830,-1.228,0.272,-0.956,0.633,-1.220,0.621,-0.190,894431216.473,1584,0,0,0.008
norefined,3,-0.542,-7.811,-1.298,0.227,-1.001,0.576,-1.258,0.583,-0.156,343958620.483,1584,0,0,0.069
norefined,4,-1.021,-7.752,-1.420,0.239,-1.035,0.574,-1.264,0.584,-0.122,179035402.435,1584,0,0,0.132
norefined,5,-1.425,-7.652,-1.668,0.267,-1.062,0.603,-1.163,0.546,-0.094,139999123.753,1584,0,0,0.186
norefined,6,-1.098,-7.638,-2.003,0.326,-1.105,0.617,-1.049,0.526,-0.202,124889413.867,1584,0,0,0.144
norefined,7,-1.495,-7.527,-2.205,0.383,-1.082,0.669,-0.896,0.476,-0.114,109002559.710,1584,0,0,0.199
norefined,8,-1.071,-7.534,-2.446,0.394,-1.073,0.686,-0.808,0.466,-0.177,100529599.009,1584,0,0,0.142
norefined,9,-1.491,-7.426,-2.579,0.441,-1.023,0.752,-0.667,0.421,-0.060,88913270.206,1584,0,0,0.201
norefined,10,-1.049,-7.435,-2.787,0.400,-1.009,0.767,-0.592,0.393,-0.108,83893746.894,1584,0,0,0.141
refined,11,-1.049,-7.435,-2.787,0.400,-1.009,0.767,-0.592,0.393,-0.108,83893746.894,1584,0,0,0.141
refined,12,-0.412,-0.492,-0.962,-0.395,0.904,0.497,-0.019,-0.184,-0.396,654590680.824,1584,0,0,0.838
refined,13,-0.400,-1.723,-0.996,0.082,0.174,0.343,-0.253,-0.127,-0.172,96102073.837,1584,0,0,0.232
refined,14,-0.666,-3.302,-1.691,0.189,0.204,0.366,-0.378,-0.176,-0.232,42745279.974,1584,0,0,0.202
refined,15,-0.979,-4.812,-2.553,-0.148,0.665,0.401,-0.208,-0.111,-0.516,34253405.044,1584,0,0,0.203
refined,16,-1.248,-5.917,-3.151,-0.799,1.015,0.627,-0.028,0.243,-0.923,32309729.692,1584,0,0,0.211
refined,17,-1.420,-6.706,-3.589,-1.039,1.189,0.806,-0.061,0.302,-1.093,31972401.461,1584,0,0,0.212
refined,18,-1.502,-7.064,-3.785,-1.169,1.287,0.907,-0.082,0.341,-1.183,31909080.013,1584,0,0,0.213
refined,19,-1.543,-7.246,-3.887,-1.226,1.344,0.954,-0.098,0.351,-1.229,31894138.113,1584,0,0,0.213
refined,20,-1.564,-7.339,-3.939,-1.259,1.376,0.978,-0.107,0.358,-1.253,31889982.556,1584,0,0,0.213
