stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.825,-5.630,-1.595,-0.606,1.518,0.501,-0.852,0.056,-0.864,7025068714.019,-0.146
norefined,2,0.362,-5.679,-1.648,-0.646,1.419,0.435,-0.930,-0.027,-0.907,3461088677.885,-0.064
norefined,3,-0.119,-5.705,-1.666,-0.678,1.347,0.371,-0.990,-0.085,-0.926,1332421217.563,0.021
norefined,4,-0.602,-5.707,-1.692,-0.698,1.260,0.318,-1.042,-0.127,-0.903,822323152.192,0.106
norefined,5,-1.073,-5.661,-1.762,-0.694,1.158,0.286,-1.069,-0.147,-0.809,753890285.983,0.190
norefined,6,-0.682,-5.689,-2.008,-0.763,1.027,0.279,-1.044,-0.097,-0.704,697687946.678,0.120
norefined,7,-1.163,-5.641,-2.019,-0.734,0.952,0.261,-1.063,-0.115,-0.610,652657639.241,0.206
norefined,8,-0.744,-5.672,-2.233,-0.800,0.839,0.262,-1.034,-0.069,-0.528,620239926.130,0.131
norefined,9,-1.228,-5.621,-2.219,-0.763,0.784,0.251,-1.044,-0.085,-0.443,586907000.741,0.219
norefined,10,-0.789,-5.655,-2.411,-0.828,0.689,0.253,-1.012,-0.049,-0.388,572161461.664,0.139
refined,11,-0.789,-5.655,-2.411,-0.828,0.689,0.253,-1.012,-0.049,-0.388,572161461.664,0.139
refined,12,-1.216,-5.148,-3.137,-0.388,0.193,-0.999,0.017,-0.085,0.507,392455442.577,0.236
refined,13,-1.260,-5.890,-3.580,-0.447,0.475,-0.777,-0.494,0.026,0.473,355077079.656,0.214
refined,14,-1.449,-6.752,-4.116,-0.420,0.513,-1.070,-0.447,0.081,0.476,353991941.717,0.215
refined,15,-1.472,-6.852,-4.214,-0.414,0.562,-1.130,-0.477,0.119,0.511,353922297.592,0.215
refined,16,-1.490,-6.933,-4.265,-0.422,0.574,-1.167,-0.485,0.123,0.519,353916204.600,0.215
refined,17,-1.492,-6.942,-4.276,-0.424,0.582,-1.179,-0.489,0.127,0.523,353915434.023,0.215
refined,18,-1.494,-6.951,-4.282,-0.426,0.584,-1.185,-0.490,0.128,0.524,353915313.535,0.215
refined,19,-1.495,-6.953,-4.284,-0.426,0.585,-1.187,-0.490,0.128,0.525,353915292.792,0.215
refined,20,-1.495,-6.954,-4.285,-0.427,0.585,-1.189,-0.491,0.128,0.525,353915289.090,0.215
