stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.079,"[-2.396, 0.237]",1.316,-1.637,0.106
norefined,c,-7.617,"[-17.032, 1.798]",9.415,-1.615,0.111
norefined,s,-2.402,"[-6.434, 1.631]",4.033,-1.189,0.239
norefined,k0,0.638,"[-2.195, 3.471]",2.833,0.450,0.654
norefined,k1,0.136,"[-2.03, 2.302]",2.166,0.126,0.900
norefined,k2,1.532,"[-0.903, 3.968]",2.435,1.256,0.214
norefined,k3,-1.288,"[-3.165, 0.588]",1.877,-1.370,0.175
norefined,k4,0.115,"[-1.621, 1.851]",1.736,0.132,0.895
norefined,k5,0.888,"[-0.957, 2.732]",1.845,0.961,0.340
refined,tt,-0.225,"[-0.307, -0.142]",0.083,-5.413,0.000
refined,c,-1.259,"[-1.798, -0.719]",0.539,-4.658,0.000
refined,s,-0.718,"[-1.06, -0.376]",0.342,-4.190,0.000
refined,k0,0.053,"[-0.386, 0.491]",0.438,0.240,0.811
refined,k1,0.478,"[0.056, 0.9]",0.422,2.259,0.027
refined,k2,0.263,"[-0.061, 0.586]",0.323,1.622,0.109
refined,k3,0.205,"[-0.107, 0.517]",0.312,1.313,0.194
refined,k4,0.021,"[-0.271, 0.312]",0.291,0.142,0.888
refined,k5,-0.332,"[-0.65, -0.014]",0.318,-2.086,0.041
