stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.972,"[-2.33, 0.387]",1.358,-1.193,0.237
norefined,c,-5.968,"[-12.814, 0.878]",6.846,-1.454,0.151
norefined,s,-3.725,"[-8.006, 0.557]",4.282,-1.451,0.151
norefined,k0,0.776,"[-1.25, 2.802]",2.026,0.639,0.525
norefined,k1,-0.155,"[-1.931, 1.621]",1.776,-0.146,0.885
norefined,k2,0.699,"[-1.121, 2.518]",1.820,0.640,0.524
norefined,k3,-2.071,"[-4.832, 0.69]",2.761,-1.251,0.215
norefined,k4,0.007,"[-1.336, 1.349]",1.342,0.008,0.993
norefined,k5,-0.009,"[-1.521, 1.502]",1.512,-0.010,0.992
refined,tt,-0.507,"[-1.219, 0.205]",0.712,-1.189,0.239
refined,c,-4.585,"[-8.972, -0.198]",4.387,-1.743,0.086
refined,s,-2.227,"[-4.409, -0.045]",2.182,-1.702,0.093
refined,k0,0.411,"[-0.926, 1.749]",1.337,0.513,0.610
refined,k1,-0.520,"[-1.923, 0.882]",1.402,-0.619,0.538
refined,k2,-0.017,"[-1.104, 1.071]",1.087,-0.026,0.980
refined,k3,-0.682,"[-1.745, 0.38]",1.063,-1.071,0.288
refined,k4,0.109,"[-0.807, 1.026]",0.917,0.199,0.843
refined,k5,-0.607,"[-1.662, 0.447]",1.054,-0.961,0.340
