stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.642,-4.689,-4.092,-0.356,0.129,-0.745,1.040,0.868,-1.797,590828960.803,1584,0,0,0.137
norefined,2,-1.100,-4.739,-3.988,-0.436,0.032,-0.732,1.044,0.765,-1.797,362123250.471,1584,0,0,0.232
norefined,3,-1.268,-4.968,-3.712,-0.600,-0.113,-0.735,0.988,0.565,-1.754,322668318.933,1584,0,0,0.255
norefined,4,-0.805,-5.104,-3.701,-0.640,-0.095,-0.773,0.891,0.535,-1.697,356273577.816,1584,0,0,0.158
norefined,5,-1.276,-5.113,-3.618,-0.723,-0.142,-0.710,0.870,0.452,-1.665,302104809.154,1584,0,0,0.250
norefined,6,-0.805,-5.225,-3.635,-0.745,-0.107,-0.745,0.775,0.441,-1.609,336253643.470,1584,0,0,0.154
norefined,7,-1.283,-5.219,-3.565,-0.813,-0.138,-0.674,0.754,0.378,-1.574,288266216.850,1584,0,0,0.246
norefined,8,-0.809,-5.321,-3.592,-0.823,-0.097,-0.709,0.668,0.376,-1.519,323019941.345,1584,0,0,0.152
norefined,9,-1.291,-5.306,-3.528,-0.876,-0.119,-0.634,0.652,0.329,-1.485,278252424.985,1584,0,0,0.243
norefined,10,-0.814,-5.404,-3.559,-0.877,-0.077,-0.670,0.576,0.333,-1.431,313391265.633,1584,0,0,0.151
refined,11,-1.291,-5.306,-3.528,-0.876,-0.119,-0.634,0.652,0.329,-1.485,278252424.985,1584,0,0,0.243
refined,12,-0.451,-2.808,-0.887,0.101,-0.105,0.133,-0.610,-0.457,1.490,470732772.170,1584,0,0,0.161
refined,13,-0.689,-3.700,-1.660,-0.166,-0.388,0.125,-0.441,-0.467,1.012,224109145.957,1584,0,0,0.186
refined,14,-0.863,-4.501,-2.214,-0.374,-0.199,-0.030,-0.275,-0.200,0.445,187694568.932,1584,0,0,0.192
refined,15,-0.922,-4.922,-2.395,-0.438,0.057,-0.073,-0.241,-0.117,0.210,184094084.992,1584,0,0,0.187
refined,16,-0.977,-5.256,-2.520,-0.477,0.131,-0.085,-0.273,-0.027,0.138,183740217.332,1584,0,0,0.186
refined,17,-0.984,-5.315,-2.535,-0.488,0.170,-0.087,-0.271,-0.010,0.107,183699487.546,1584,0,0,0.185
refined,18,-0.993,-5.364,-2.553,-0.494,0.178,-0.089,-0.277,0.004,0.099,183695066.066,1584,0,0,0.185
refined,19,-0.993,-5.366,-2.552,-0.495,0.183,-0.089,-0.275,0.004,0.095,183694548.937,1584,0,0,0.185
refined,20,-0.994,-5.373,-2.555,-0.496,0.184,-0.089,-0.276,0.006,0.095,183694482.729,1584,0,0,0.185
