stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.512,-5.170,-1.175,-0.240,-0.008,1.451,0.865,1.574,1.892,3859390057.276,0.486
norefined,2,-2.220,-5.365,-1.384,-0.364,-0.068,1.311,0.766,1.414,1.796,2782131312.636,0.414
norefined,3,-1.883,-5.531,-1.599,-0.449,-0.118,1.175,0.681,1.270,1.716,1828025388.892,0.340
norefined,4,-1.508,-5.663,-1.809,-0.492,-0.167,1.042,0.603,1.142,1.657,1105410840.602,0.266
norefined,5,-1.190,-5.767,-2.018,-0.544,-0.247,0.879,0.473,0.964,1.553,699318764.447,0.206
norefined,6,-1.158,-5.813,-2.210,-0.628,-0.362,0.672,0.282,0.691,1.365,429350625.805,0.199
norefined,7,-0.874,-5.856,-2.420,-0.673,-0.435,0.517,0.175,0.433,1.246,302959880.752,0.149
norefined,8,-1.247,-5.832,-2.496,-0.635,-0.475,0.434,0.006,0.218,1.107,349300830.323,0.214
norefined,9,-0.769,-5.885,-2.601,-0.627,-0.410,0.415,0.036,0.202,1.141,290104171.023,0.131
norefined,10,-1.239,-5.853,-2.579,-0.536,-0.379,0.421,-0.076,0.149,1.091,334281782.080,0.212
refined,11,-0.769,-5.885,-2.601,-0.627,-0.410,0.415,0.036,0.202,1.141,290104171.023,0.131
refined,12,-0.510,-3.207,-1.687,0.309,0.379,-0.105,-0.315,-0.291,0.301,218676950.105,0.159
refined,13,-0.513,-3.494,-1.781,0.207,0.259,0.029,-0.293,-0.245,0.381,213123546.085,0.147
refined,14,-0.523,-3.572,-1.821,0.218,0.258,0.029,-0.299,-0.237,0.385,213047673.925,0.146
refined,15,-0.529,-3.612,-1.842,0.219,0.261,0.029,-0.298,-0.235,0.387,213031554.947,0.146
refined,16,-0.532,-3.634,-1.853,0.220,0.262,0.029,-0.298,-0.234,0.388,213027207.032,0.146
refined,17,-0.534,-3.645,-1.858,0.221,0.262,0.029,-0.298,-0.234,0.388,213026058.005,0.147
refined,18,-0.535,-3.650,-1.861,0.221,0.263,0.029,-0.298,-0.233,0.389,213025758.917,0.147
refined,19,-0.535,-3.653,-1.863,0.221,0.263,0.029,-0.298,-0.233,0.389,213025681.688,0.147
refined,20,-0.536,-3.655,-1.864,0.221,0.263,0.029,-0.298,-0.233,0.389,213025661.828,0.147
