attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.364,"[-2.057, -0.67]",0.693,-3.281,0.002,8.640,ngd,54,320311417.938,0.188,-1.000,-0.364,0,0,fn
c,-5.546,"[-8.724, -2.369]",3.178,-2.911,0.005,8.640,ngd,54,320311417.938,0.188,-6.000,0.454,0,0,fn
s,-3.666,"[-5.62, -1.712]",1.954,-3.129,0.003,8.640,ngd,54,320311417.938,0.188,-3.000,-0.666,0,0,fn
k0,1.415,"[0.199, 2.632]",1.217,1.941,0.057,8.640,ngd,54,320311417.938,0.188,0.000,1.415,0,1,fp
k1,-1.246,"[-2.458, -0.034]",1.212,-1.715,0.091,8.640,ngd,54,320311417.938,0.188,0.000,-1.246,0,1,fp
k2,0.715,"[-0.341, 1.77]",1.055,1.129,0.263,8.640,ngd,54,320311417.938,0.188,0.000,0.715,0,0,fp
k3,0.436,"[-0.547, 1.418]",0.983,0.739,0.462,8.640,ngd,54,320311417.938,0.188,0.000,0.436,0,0,fp
k4,-0.248,"[-1.289, 0.793]",1.041,-0.397,0.693,8.640,ngd,54,320311417.938,0.188,0.000,-0.248,0,0,fp
k5,-1.401,"[-2.653, -0.149]",1.252,-1.867,0.066,8.640,ngd,54,320311417.938,0.188,0.000,-1.401,0,1,fp
vot,0.246,,,,,8.640,ngd,54,320311417.938,0.188,0.167,0.079,0,0,fn
tt,-3420.057,"[-67178228123.944, 67178221283.83]",67178224703.887,-0.000,1.000,8.915,lm,54,3638364266.484,0.633,-1.000,-3419.057,1,0,fn
c,-3320.300,"[-22823328683.089, 22823322042.49]",22823325362.790,-0.000,1.000,8.915,lm,54,3638364266.484,0.633,-6.000,-3314.300,1,0,fn
s,-3135.313,"[-3135.313, -3135.313]",0.000,-2965639255261500395934517321239502246213844992.000,0.000,8.915,lm,54,3638364266.484,0.633,-3.000,-3132.313,0,0,fn
k0,5781.308,"[-19758743623.729, 19758755186.345]",19758749405.037,0.000,1.000,8.915,lm,54,3638364266.484,0.633,0.000,5781.308,0,0,fp
k1,-4536.426,"[-7719513524.204, 7719504451.352]",7719508987.778,-0.000,1.000,8.915,lm,54,3638364266.484,0.633,0.000,-4536.426,0,0,fp
k2,-2616.289,"[-5199740758.3, 5199735525.721]",5199738142.010,-0.000,1.000,8.915,lm,54,3638364266.484,0.633,0.000,-2616.289,0,0,fp
k3,2396.337,"[-3991812248.695, 3991817041.37]",3991814645.032,0.000,1.000,8.915,lm,54,3638364266.484,0.633,0.000,2396.337,0,0,fp
k4,537.279,"[-18254934181.03, 18254935255.587]",18254934718.308,0.000,1.000,8.915,lm,54,3638364266.484,0.633,0.000,537.279,0,0,fp
k5,387.617,"[-77041928569.881, 77041929345.114]",77041928957.498,0.000,1.000,8.915,lm,54,3638364266.484,0.633,0.000,387.617,0,0,fp
vot,1.030,,,,,8.915,lm,54,3638364266.484,0.633,0.167,0.863,0,0,fn
tt,-1.223,"[-1.65, -0.796]",0.427,-4.775,0.000,17.573,ngd+lm,54,146481169.005,0.127,-1.000,-0.223,0,0,fn
c,-7.359,"[-10.013, -4.705]",2.654,-4.624,0.000,17.573,ngd+lm,54,146481169.005,0.127,-6.000,-1.359,0,0,fn
s,-4.113,"[-5.578, -2.647]",1.466,-4.679,0.000,17.573,ngd+lm,54,146481169.005,0.127,-3.000,-1.113,0,0,fn
k0,-0.043,"[-0.599, 0.512]",0.555,-0.130,0.897,17.573,ngd+lm,54,146481169.005,0.127,0.000,-0.043,0,0,fp
k1,-0.139,"[-0.722, 0.445]",0.583,-0.396,0.693,17.573,ngd+lm,54,146481169.005,0.127,0.000,-0.139,0,0,fp
k2,0.697,"[-0.036, 1.431]",0.734,1.585,0.118,17.573,ngd+lm,54,146481169.005,0.127,0.000,0.697,0,0,fp
k3,0.109,"[-0.375, 0.592]",0.483,0.375,0.709,17.573,ngd+lm,54,146481169.005,0.127,0.000,0.109,0,0,fp
k4,-0.460,"[-1.003, 0.084]",0.544,-1.410,0.163,17.573,ngd+lm,54,146481169.005,0.127,0.000,-0.460,0,0,fp
k5,0.206,"[-0.281, 0.694]",0.488,0.705,0.483,17.573,ngd+lm,54,146481169.005,0.127,0.000,0.206,0,0,fp
vot,0.166,,,,,17.573,ngd+lm,54,146481169.005,0.127,0.167,-0.000,0,0,fn
