stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.208,"[-2.021, -0.396]",0.812,-2.494,0.016
norefined,c,-8.052,"[-13.095, -3.008]",5.044,-2.677,0.010
norefined,s,-5.063,"[-8.396, -1.729]",3.334,-2.547,0.014
norefined,k0,-0.019,"[-0.675, 0.638]",0.656,-0.048,0.962
norefined,k1,-0.958,"[-1.834, -0.082]",0.876,-1.834,0.073
norefined,k2,1.235,"[0.142, 2.327]",1.092,1.896,0.064
norefined,k3,-1.620,"[-3.288, 0.048]",1.668,-1.628,0.110
norefined,k4,0.568,"[0.008, 1.129]",0.561,1.700,0.096
norefined,k5,0.885,"[-0.491, 2.261]",1.376,1.079,0.286
refined,tt,-1.221,"[-1.613, -0.828]",0.393,-5.211,0.000
refined,c,-7.421,"[-9.762, -5.079]",2.341,-5.316,0.000
refined,s,-3.901,"[-5.219, -2.582]",1.318,-4.963,0.000
refined,k0,0.050,"[-0.322, 0.422]",0.372,0.225,0.823
refined,k1,-0.559,"[-0.921, -0.197]",0.362,-2.587,0.013
refined,k2,0.270,"[-0.14, 0.681]",0.411,1.104,0.275
refined,k3,-0.417,"[-1.048, 0.213]",0.630,-1.111,0.272
refined,k4,-0.262,"[-0.58, 0.057]",0.318,-1.377,0.175
refined,k5,0.449,"[-0.188, 1.087]",0.637,1.182,0.243
