stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,104.593,2.023,0.000,76,0,9,2870149507.497,190709251.889
refined,182.701,2.023,0.000,76,0,9,2870149507.497,112370293.990
