stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.844,"[-1.405, -0.283]",0.561,-3.002,0.004
norefined,c,-6.135,"[-10.007, -2.262]",3.872,-3.162,0.002
norefined,s,-2.398,"[-3.954, -0.842]",1.556,-3.077,0.003
norefined,k0,-0.833,"[-2.046, 0.379]",1.213,-1.372,0.175
norefined,k1,0.038,"[-0.562, 0.637]",0.599,0.125,0.901
norefined,k2,-1.110,"[-2.229, 0.009]",1.119,-1.979,0.052
norefined,k3,1.459,"[0.121, 2.796]",1.337,2.177,0.033
norefined,k4,1.258,"[0.071, 2.444]",1.186,2.116,0.038
norefined,k5,-0.932,"[-1.795, -0.069]",0.863,-2.155,0.035
refined,tt,-0.843,"[-1.147, -0.539]",0.304,-5.531,0.000
refined,c,-5.351,"[-7.208, -3.493]",1.857,-5.750,0.000
refined,s,-2.514,"[-3.455, -1.574]",0.941,-5.336,0.000
refined,k0,-0.665,"[-1.239, -0.09]",0.575,-2.309,0.024
refined,k1,0.052,"[-0.387, 0.491]",0.439,0.235,0.815
refined,k2,-0.207,"[-0.66, 0.247]",0.453,-0.910,0.366
refined,k3,0.537,"[0.015, 1.06]",0.522,2.054,0.044
refined,k4,0.198,"[-0.233, 0.629]",0.431,0.916,0.363
refined,k5,-0.099,"[-0.582, 0.383]",0.483,-0.411,0.682
