stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.177,-6.046,-4.489,0.902,-1.717,-1.913,1.094,0.677,0.499,84608338.678,0.029
norefined,2,-0.654,-6.066,-4.418,0.947,-1.629,-1.984,1.099,0.645,0.470,42415291.511,0.108
norefined,3,-1.140,-6.060,-4.371,0.996,-1.549,-1.994,1.103,0.674,0.433,32509241.067,0.188
norefined,4,-0.783,-6.196,-4.382,1.096,-1.540,-1.778,0.957,0.820,0.367,34178937.719,0.126
norefined,5,-1.265,-6.178,-4.325,1.141,-1.445,-1.822,0.988,0.804,0.362,29823982.791,0.205
norefined,6,-0.845,-6.288,-4.351,1.208,-1.480,-1.643,0.868,0.882,0.309,31393930.122,0.134
norefined,7,-1.320,-6.264,-4.289,1.248,-1.377,-1.707,0.909,0.837,0.319,28103552.424,0.211
norefined,8,-0.885,-6.364,-4.323,1.301,-1.426,-1.543,0.801,0.892,0.267,29705789.582,0.139
norefined,9,-1.356,-6.338,-4.259,1.339,-1.322,-1.616,0.844,0.832,0.283,26813719.748,0.214
norefined,10,-0.912,-6.429,-4.303,1.381,-1.378,-1.464,0.744,0.876,0.234,28537814.699,0.142
refined,11,-1.356,-6.338,-4.259,1.339,-1.322,-1.616,0.844,0.832,0.283,26813719.748,0.214
refined,12,-1.134,-6.666,-3.751,1.963,0.742,0.077,-0.785,-0.206,-0.119,18675415.637,0.170
refined,13,-1.955,-11.485,-6.726,2.527,0.350,-1.633,-1.637,-0.379,-1.718,8846416.572,0.170
refined,14,-2.025,-11.673,-7.174,4.473,-0.044,-1.611,-1.016,-0.687,-2.139,8222927.353,0.173
refined,15,-1.907,-10.261,-6.288,2.397,0.018,-1.550,-1.364,-0.015,-1.031,8366556.862,0.186
refined,16,-2.211,-12.103,-7.373,3.845,-0.153,-1.826,-1.373,-0.441,-1.817,7948174.726,0.183
refined,17,-2.161,-11.837,-7.195,3.126,0.110,-1.826,-1.521,-0.217,-1.629,7936673.092,0.183
refined,18,-2.363,-13.043,-7.989,4.249,-0.080,-2.123,-1.520,-0.575,-2.315,7923963.946,0.181
refined,19,-1.976,-10.666,-6.540,2.311,0.193,-1.590,-1.493,-0.044,-1.030,8413074.017,0.185
refined,20,-2.200,-12.063,-7.376,3.860,-0.127,-1.835,-1.374,-0.473,-1.832,7950831.206,0.182
