attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.587,"[-2.105, -1.069]",0.518,-5.110,0.000,33,0.150,158856734.618,0.133,-1.000,-0.587,0,0,fn
c,-9.113,"[-12.001, -6.224]",2.889,-5.262,0.000,33,0.150,158856734.618,0.133,-6.000,-3.113,0,0,fn
s,-4.581,"[-6.065, -3.098]",1.484,-5.150,0.000,33,0.150,158856734.618,0.133,-3.000,-1.581,0,0,fn
k0,-0.090,"[-0.577, 0.398]",0.488,-0.307,0.760,33,0.150,158856734.618,0.133,0.000,-0.090,0,0,fp
k1,-0.511,"[-1.192, 0.17]",0.681,-1.253,0.215,33,0.150,158856734.618,0.133,0.000,-0.511,0,0,fp
k2,-0.315,"[-0.858, 0.227]",0.543,-0.969,0.336,33,0.150,158856734.618,0.133,0.000,-0.315,0,0,fp
k3,0.494,"[-0.084, 1.073]",0.579,1.425,0.159,33,0.150,158856734.618,0.133,0.000,0.494,0,0,fp
k4,0.752,"[0.073, 1.431]",0.679,1.848,0.069,33,0.150,158856734.618,0.133,0.000,0.752,0,1,fp
k5,0.425,"[-0.369, 1.219]",0.794,0.892,0.375,33,0.150,158856734.618,0.133,0.000,0.425,0,0,fp
vot,0.174,,,,,33,0.150,158856734.618,0.133,0.167,0.008,0,0,fn
tt,-0.630,"[-0.881, -0.379]",0.251,-4.184,0.000,33,0.200,299544400.090,0.176,-1.000,0.370,0,0,fn
c,-4.118,"[-5.66, -2.576]",1.542,-4.455,0.000,33,0.200,299544400.090,0.176,-6.000,1.882,0,0,fn
s,-1.866,"[-2.63, -1.102]",0.764,-4.075,0.000,33,0.200,299544400.090,0.176,-3.000,1.134,0,0,fn
k0,0.359,"[-0.07, 0.789]",0.430,1.395,0.168,33,0.200,299544400.090,0.176,0.000,0.359,0,0,fp
k1,-0.049,"[-0.571, 0.472]",0.521,-0.158,0.875,33,0.200,299544400.090,0.176,0.000,-0.049,0,0,fp
k2,-0.148,"[-0.575, 0.279]",0.427,-0.579,0.565,33,0.200,299544400.090,0.176,0.000,-0.148,0,0,fp
k3,0.012,"[-0.432, 0.456]",0.444,0.045,0.964,33,0.200,299544400.090,0.176,0.000,0.012,0,0,fp
k4,0.249,"[-0.174, 0.671]",0.422,0.983,0.329,33,0.200,299544400.090,0.176,0.000,0.249,0,0,fp
k5,-0.148,"[-0.642, 0.346]",0.494,-0.500,0.619,33,0.200,299544400.090,0.176,0.000,-0.148,0,0,fp
vot,0.153,,,,,33,0.200,299544400.090,0.176,0.167,-0.014,0,0,fn
tt,-1.425,"[-2.417, -0.433]",0.992,-2.395,0.019,33,0.250,487321891.426,0.231,-1.000,-0.425,0,0,fn
c,-6.791,"[-11.391, -2.191]",4.600,-2.462,0.016,33,0.250,487321891.426,0.231,-6.000,-0.791,0,0,fn
s,-4.109,"[-7.054, -1.163]",2.946,-2.327,0.023,33,0.250,487321891.426,0.231,-3.000,-1.109,0,0,fn
k0,-0.469,"[-1.661, 0.722]",1.191,-0.657,0.514,33,0.250,487321891.426,0.231,0.000,-0.469,0,0,fp
k1,-1.078,"[-2.561, 0.405]",1.483,-1.213,0.229,33,0.250,487321891.426,0.231,0.000,-1.078,0,0,fp
k2,-1.030,"[-2.405, 0.345]",1.375,-1.249,0.216,33,0.250,487321891.426,0.231,0.000,-1.030,0,0,fp
k3,-0.620,"[-1.79, 0.55]",1.170,-0.884,0.380,33,0.250,487321891.426,0.231,0.000,-0.620,0,0,fp
k4,-0.437,"[-1.478, 0.604]",1.041,-0.701,0.486,33,0.250,487321891.426,0.231,0.000,-0.437,0,0,fp
k5,0.573,"[-1.039, 2.185]",1.612,0.593,0.555,33,0.250,487321891.426,0.231,0.000,0.573,0,0,fp
vot,0.210,,,,,33,0.250,487321891.426,0.231,0.167,0.043,0,0,fn
