stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.037,"[-2.362, 0.289]",1.326,-1.304,0.197
norefined,c,-7.078,"[-17.036, 2.879]",9.958,-1.186,0.240
norefined,s,-2.242,"[-5.631, 1.146]",3.388,-1.104,0.274
norefined,k0,-1.043,"[-4.267, 2.182]",3.224,-0.539,0.591
norefined,k1,1.021,"[-1.374, 3.416]",2.395,0.711,0.480
norefined,k2,1.604,"[-1.144, 4.352]",2.748,0.973,0.334
norefined,k3,-1.128,"[-3.812, 1.556]",2.684,-0.701,0.486
norefined,k4,-0.430,"[-2.698, 1.838]",2.268,-0.316,0.753
norefined,k5,1.474,"[-0.845, 3.793]",2.319,1.060,0.293
refined,tt,-22.349,"[-350.455, 305.758]",328.106,-0.114,0.910
refined,c,-131.343,"[-2069.619, 1806.934]",1938.277,-0.113,0.910
refined,s,-74.314,"[-1181.869, 1033.241]",1107.555,-0.112,0.911
refined,k0,-57.194,"[-907.433, 793.045]",850.239,-0.112,0.911
refined,k1,37.050,"[-524.117, 598.217]",561.167,0.110,0.913
refined,k2,46.633,"[-662.55, 755.815]",709.182,0.110,0.913
refined,k3,-35.470,"[-577.778, 506.837]",542.308,-0.109,0.913
refined,k4,-3.096,"[-172.553, 166.36]",169.456,-0.030,0.976
refined,k5,30.937,"[-440.128, 502.001]",471.065,0.110,0.913
