stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.421,"[-3.75, 0.909]",2.330,-1.217,0.228
norefined,c,-7.862,"[-20.535, 4.812]",12.673,-1.238,0.220
norefined,s,-3.235,"[-9.381, 2.911]",6.146,-1.051,0.297
norefined,k0,-0.522,"[-2.763, 1.719]",2.241,-0.465,0.643
norefined,k1,-0.988,"[-3.761, 1.786]",2.773,-0.711,0.480
norefined,k2,-0.768,"[-3.9, 2.363]",3.132,-0.490,0.626
norefined,k3,0.986,"[-2.168, 4.14]",3.154,0.624,0.535
norefined,k4,-0.629,"[-4.086, 2.828]",3.457,-0.363,0.718
norefined,k5,-0.049,"[-3.253, 3.154]",3.204,-0.031,0.976
refined,tt,-1.421,"[-3.75, 0.909]",2.330,-1.217,0.228
refined,c,-7.862,"[-20.535, 4.812]",12.673,-1.238,0.220
refined,s,-3.235,"[-9.381, 2.911]",6.146,-1.051,0.297
refined,k0,-0.522,"[-2.763, 1.719]",2.241,-0.465,0.643
refined,k1,-0.988,"[-3.761, 1.786]",2.773,-0.711,0.480
refined,k2,-0.768,"[-3.9, 2.363]",3.132,-0.490,0.626
refined,k3,0.986,"[-2.168, 4.14]",3.154,0.624,0.535
refined,k4,-0.629,"[-4.086, 2.828]",3.457,-0.363,0.718
refined,k5,-0.049,"[-3.253, 3.154]",3.204,-0.031,0.976
