stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,18.857,1.727,0.000,0,9,4371006370.084,1237172260.711,76
refined,24.443,1.727,0.000,0,9,4371006370.084,1020463012.122,76
