stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,60.798,2.023,0.000,76,0,9,2982202420.593,325322991.469
refined,172.178,2.023,0.000,76,0,9,2982202420.593,123597235.151
