stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,106.406,2.023,0.000,0,9,3955848402.045,258663669.237,76
refined,186.145,2.023,0.000,0,9,3955848402.045,152121035.781,76
