stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,30.124,4.667,0.000,0,1,86378.138,26039.015,14
refined,78.037,4.667,0.000,0,1,86378.138,12334.704,14
