stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.826, -1.174]",0.826,-5.229,0.000
refined,tt,-1.113,"[-1.446, -0.779]",0.333,-7.211,0.000
