stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,23.298,4.667,0.000,0,1,72334.747,25906.772,14
refined,160.832,4.667,0.000,0,1,72334.747,5409.529,14
