stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-14.000,70221.782,26,0,0,
norefined,2,-12.000,68965.131,26,0,0,
norefined,3,-10.000,66989.511,26,0,0,
norefined,4,-8.000,63826.480,26,0,0,
norefined,5,-6.000,56815.483,26,0,0,
norefined,6,-4.000,41212.230,26,0,0,
norefined,7,-2.000,16736.156,26,0,0,
norefined,8,0.000,72334.747,26,0,0,
norefined,9,-2.000,16736.156,26,0,0,
norefined,10,0.000,72334.747,26,0,0,
refined,11,-2.000,16736.156,26,0,0,
refined,12,-0.774,7840.789,26,0,0,
refined,13,-0.968,5532.083,26,0,0,
refined,14,-1.002,5443.750,26,0,0,
refined,15,-1.007,5437.551,26,0,0,
refined,16,-1.007,5436.851,26,0,0,
refined,17,-1.008,5436.763,26,0,0,
refined,18,-1.008,5436.751,26,0,0,
refined,19,-1.008,5436.750,26,0,0,
refined,20,-1.008,5436.750,26,0,0,
