attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.464,"[-2.192, -0.736]",0.728,-3.355,0.001,10.834,ngd,39,235836607.656,0.157,-1.000,-0.464,0,0,fn
c,-7.080,"[-11.121, -3.04]",4.040,-2.923,0.005,10.834,ngd,39,235836607.656,0.157,-6.000,-1.080,0,0,fn
s,-3.874,"[-5.792, -1.957]",1.917,-3.370,0.001,10.834,ngd,39,235836607.656,0.157,-3.000,-0.874,0,0,fn
k0,0.680,"[-0.407, 1.768]",1.088,1.043,0.301,10.834,ngd,39,235836607.656,0.157,0.000,0.680,0,0,fp
k1,-0.093,"[-0.557, 0.371]",0.464,-0.333,0.740,10.834,ngd,39,235836607.656,0.157,0.000,-0.093,0,0,fp
k2,-0.838,"[-1.696, 0.021]",0.858,-1.628,0.108,10.834,ngd,39,235836607.656,0.157,0.000,-0.838,0,0,fp
k3,0.966,"[-0.16, 2.092]",1.126,1.431,0.157,10.834,ngd,39,235836607.656,0.157,0.000,0.966,0,0,fp
k4,-0.859,"[-1.858, 0.141]",1.000,-1.433,0.157,10.834,ngd,39,235836607.656,0.157,0.000,-0.859,0,0,fp
k5,-0.664,"[-1.72, 0.391]",1.055,-1.050,0.297,10.834,ngd,39,235836607.656,0.157,0.000,-0.664,0,0,fp
vot,0.207,,,,,10.834,ngd,39,235836607.656,0.157,0.167,0.040,0,0,fn
tt,0.779,"[-0.766, 2.323]",1.545,0.841,0.403,11.823,lm,39,3843826925.484,0.634,-1.000,1.779,1,0,fn
c,-7.149,"[-22.29, 7.992]",15.141,-0.788,0.434,11.823,lm,39,3843826925.484,0.634,-6.000,-1.149,1,0,fn
s,-3.625,"[-10.569, 3.32]",6.944,-0.871,0.387,11.823,lm,39,3843826925.484,0.634,-3.000,-0.625,1,0,fn
k0,0.323,"[-2.214, 2.861]",2.538,0.212,0.832,11.823,lm,39,3843826925.484,0.634,0.000,0.323,0,0,fp
k1,-0.439,"[-2.399, 1.522]",1.961,-0.373,0.710,11.823,lm,39,3843826925.484,0.634,0.000,-0.439,0,0,fp
k2,-0.525,"[-3.488, 2.438]",2.963,-0.295,0.769,11.823,lm,39,3843826925.484,0.634,0.000,-0.525,0,0,fp
k3,1.324,"[-2.37, 5.019]",3.695,0.598,0.552,11.823,lm,39,3843826925.484,0.634,0.000,1.324,0,0,fp
k4,-1.293,"[-4.947, 2.36]",3.653,-0.590,0.557,11.823,lm,39,3843826925.484,0.634,0.000,-1.293,0,0,fp
k5,-1.557,"[-5.385, 2.27]",3.828,-0.679,0.500,11.823,lm,39,3843826925.484,0.634,0.000,-1.557,0,0,fp
vot,-0.109,,,,,11.823,lm,39,3843826925.484,0.634,0.167,-0.276,0,0,fn
tt,-0.965,"[-1.345, -0.585]",0.380,-4.236,0.000,22.738,ngd+lm,39,155618627.995,0.128,-1.000,0.035,0,0,fn
c,-5.831,"[-8.27, -3.393]",2.438,-3.989,0.000,22.738,ngd+lm,39,155618627.995,0.128,-6.000,0.169,0,0,fn
s,-2.749,"[-3.807, -1.691]",1.058,-4.333,0.000,22.738,ngd+lm,39,155618627.995,0.128,-3.000,0.251,0,0,fn
k0,0.401,"[-0.121, 0.922]",0.521,1.282,0.204,22.738,ngd+lm,39,155618627.995,0.128,0.000,0.401,0,0,fp
k1,0.066,"[-0.216, 0.348]",0.282,0.390,0.698,22.738,ngd+lm,39,155618627.995,0.128,0.000,0.066,0,0,fp
k2,-0.457,"[-0.894, -0.02]",0.437,-1.745,0.086,22.738,ngd+lm,39,155618627.995,0.128,0.000,-0.457,0,1,fp
k3,0.325,"[-0.309, 0.959]",0.634,0.854,0.396,22.738,ngd+lm,39,155618627.995,0.128,0.000,0.325,0,0,fp
k4,-0.281,"[-0.834, 0.272]",0.553,-0.846,0.400,22.738,ngd+lm,39,155618627.995,0.128,0.000,-0.281,0,0,fp
k5,0.359,"[-0.273, 0.991]",0.632,0.948,0.347,22.738,ngd+lm,39,155618627.995,0.128,0.000,0.359,0,0,fp
vot,0.166,,,,,22.738,ngd+lm,39,155618627.995,0.128,0.167,-0.001,0,0,fn
