stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.701,"[-3.0, -0.402]",1.299,-2.613,0.011
norefined,c,-6.417,"[-11.603, -1.23]",5.186,-2.470,0.016
norefined,s,-4.177,"[-7.011, -1.342]",2.834,-2.941,0.004
norefined,k0,-1.793,"[-4.714, 1.128]",2.921,-1.225,0.225
norefined,k1,0.622,"[-0.992, 2.236]",1.614,0.770,0.444
norefined,k2,0.199,"[-0.618, 1.017]",0.818,0.487,0.628
norefined,k3,0.648,"[-0.762, 2.057]",1.409,0.917,0.362
norefined,k4,-0.533,"[-1.684, 0.618]",1.151,-0.924,0.359
norefined,k5,-0.050,"[-0.977, 0.876]",0.927,-0.108,0.914
refined,tt,-1.134,"[-1.567, -0.7]",0.433,-5.221,0.000
refined,c,-6.367,"[-8.806, -3.928]",2.439,-5.210,0.000
refined,s,-3.512,"[-4.758, -2.265]",1.247,-5.623,0.000
refined,k0,0.174,"[-0.545, 0.892]",0.719,0.483,0.631
refined,k1,-0.387,"[-0.984, 0.211]",0.597,-1.292,0.201
refined,k2,-0.172,"[-0.576, 0.232]",0.404,-0.851,0.398
refined,k3,-0.240,"[-0.884, 0.403]",0.643,-0.746,0.458
refined,k4,-0.211,"[-0.718, 0.295]",0.506,-0.833,0.408
refined,k5,0.428,"[-0.107, 0.962]",0.534,1.598,0.115
